x,y,species cloglog values
1.0,1.0,0.052037667
2.0,2.0,0.3453634
3.0,3.0,0.08449222
4.0,4.0,0.3232753
5.0,5.0,0.19792643
6.0,6.0,0.026323304
7.0,7.0,0.11098391
8.0,8.0,0.16869256
9.0,9.0,0.033103537
10.0,10.0,0.039434165
11.0,11.0,0.25509125
12.0,12.0,0.21188481
13.0,13.0,0.5401223
14.0,14.0,0.60298043
15.0,15.0,0.06693778
16.0,16.0,0.085768834
17.0,17.0,0.34886336
18.0,18.0,0.5750677
19.0,19.0,0.09198042
20.0,20.0,0.2991239
21.0,21.0,0.070256874
22.0,22.0,0.05338024
23.0,23.0,0.06147661
24.0,24.0,0.3475301
25.0,25.0,0.026384216
26.0,26.0,0.073051006
27.0,27.0,0.2541277
28.0,28.0,0.29601082
29.0,29.0,0.67081064
30.0,30.0,0.18260933
31.0,31.0,0.28770962
32.0,32.0,0.117826656
