Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.82008E-3,0.182007741,0.04119421,1,0,0
2.97037E-3,0.479045088,0.066349475,0.96875,0,0
4.19668E-3,0.898713328,0.092440618,0.9375,0,0
4.73888E-3,1.372600831,0.103742722,0.90625,0,0
5.72852E-3,1.945452952,0.124010411,0.875,0,0
5.8981E-3,2.535262705,0.127437002,0.84375,0,0
6.32543E-3,3.167805268,0.136012598,0.8125,0,0
8.85816E-3,4.053621673,0.185137005,0.78125,0,0
9.20522E-3,4.974143662,0.191647174,0.75,0,0
9.41827E-3,5.915971083,0.195617914,0.71875,0,0
1.17005E-2,7.086024822,0.236948649,0.6875,0,0
1.3431E-2,8.429124661,0.266864999,0.65625,0,0
1.39684E-2,9.825968564,0.275915422,0.625,0.0625,0
1.44642E-2,11.272385978,0.284164441,0.59375,0.0625,0
1.61714E-2,12.889523179,0.311859745,0.5625,0.0625,0
1.77009E-2,14.659616634,0.335762016,0.53125,0.0625,0
3.17678E-2,17.83639876,0.520128654,0.5,0.0625,0
3.22347E-2,21.059869556,0.525279092,0.46875,0.125,0
3.36404E-2,24.423906282,0.540454198,0.4375,0.125,0
4.21182E-2,28.635722593,0.622226567,0.40625,0.1875,0
4.50827E-2,33.143996291,0.647244354,0.375,0.25,0
4.57756E-2,37.721558618,0.652848534,0.34375,0.3125,0
4.65354E-2,42.375103516,0.658891834,0.3125,0.375,0
5.17411E-2,47.54921088,0.697559652,0.28125,0.4375,0
6.12261E-2,53.671822815,0.757097554,0.25,0.5,0
6.3875E-2,60.059319737,0.771522423,0.21875,0.5625,0
6.39318E-2,66.452501643,0.771822433,0.1875,0.625,0
6.54836E-2,73.000865553,0.779861363,0.15625,0.6875,0
6.57191E-2,79.572770633,0.78105588,0.125,0.75,0
6.7358E-2,86.308569172,0.789194379,0.09375,0.8125,0
6.75411E-2,93.062676381,0.790084541,0.0625,0.875,0
6.93732E-2,100,0.79878806,0.03125,0.9375,0
