x,y,species cloglog values
1.0,1.0,0.94719434
2.0,2.0,0.051082846
3.0,3.0,5.0457945E-4
4.0,4.0,0.3518971
5.0,5.0,0.047820516
6.0,6.0,0.004790859
7.0,7.0,0.24533334
8.0,8.0,0.009137564
9.0,9.0,2.7700064E-6
10.0,10.0,0.045875642
11.0,11.0,0.017404832
12.0,12.0,3.8840497E-4
13.0,13.0,0.07218434
14.0,14.0,0.04344039
15.0,15.0,0.45027772
16.0,16.0,0.01867768
17.0,17.0,0.3203694
18.0,18.0,0.19184288
19.0,19.0,0.9733831
20.0,20.0,0.0010087427
21.0,21.0,0.53219676
22.0,22.0,0.012829405
23.0,23.0,0.007887401
24.0,24.0,0.30484456
25.0,25.0,0.29396674
26.0,26.0,1.6928903E-5
27.0,27.0,0.002586869
28.0,28.0,0.24157372
29.0,29.0,1.910664E-4
30.0,30.0,4.0603943E-5
31.0,31.0,0.17700401
32.0,32.0,0.46675855
33.0,33.0,9.7338954E-4
34.0,34.0,0.0031704386
35.0,35.0,0.0100042885
36.0,36.0,7.005769E-4
37.0,37.0,0.9986054
38.0,38.0,0.0056285667
39.0,39.0,0.029110475
40.0,40.0,0.5876642
41.0,41.0,0.6123442
42.0,42.0,3.3004623E-4
43.0,43.0,5.1610696E-4
44.0,44.0,0.0018956462
45.0,45.0,4.1013784E-4
46.0,46.0,0.26687303
47.0,47.0,0.29042873
48.0,48.0,6.806445E-4
49.0,49.0,0.0013260186
50.0,50.0,1.996806E-6
51.0,51.0,0.0041925856
52.0,52.0,0.26120383
53.0,53.0,0.17603043
54.0,54.0,0.0061469907
55.0,55.0,0.56420434
56.0,56.0,1.0094737E-6
57.0,57.0,3.7920868E-4
58.0,58.0,0.36400637
59.0,59.0,0.0029251075
60.0,60.0,0.07821771
61.0,61.0,0.013466959
62.0,62.0,0.041890603
63.0,63.0,0.0068126386
64.0,64.0,0.36783677
65.0,65.0,0.2417393
66.0,66.0,0.0030401968
67.0,67.0,0.118121035
68.0,68.0,0.031032195
69.0,69.0,0.0048138103
70.0,70.0,0.572769
71.0,71.0,0.014690863
72.0,72.0,0.19451576
73.0,73.0,3.4523467E-4
74.0,74.0,0.28300753
75.0,75.0,0.01687297
76.0,76.0,0.0049641742
77.0,77.0,0.0064578457
78.0,78.0,7.080602E-6
79.0,79.0,2.900286E-4
80.0,80.0,0.0023184794
81.0,81.0,0.023643482
82.0,82.0,0.054011032
83.0,83.0,1.2055266E-4
84.0,84.0,0.056621384
85.0,85.0,0.002315121
86.0,86.0,3.2903333E-4
87.0,87.0,3.2458207E-5
88.0,88.0,0.046815634
89.0,89.0,8.5486194E-5
90.0,90.0,3.0377903E-4
91.0,91.0,0.040339824
92.0,92.0,2.3285742E-4
93.0,93.0,0.3786451
94.0,94.0,9.760801E-6
95.0,95.0,0.009277899
96.0,96.0,0.005763776
97.0,97.0,0.5865979
98.0,98.0,2.3249743E-4
99.0,99.0,0.011593111
100.0,100.0,0.34845248
101.0,101.0,0.022723412
102.0,102.0,0.016455617
103.0,103.0,0.09704474
104.0,104.0,0.027740926
105.0,105.0,0.002249727
106.0,106.0,0.17279351
107.0,107.0,0.0034233208
108.0,108.0,0.003050114
109.0,109.0,0.21514112
110.0,110.0,1.3285279E-4
111.0,111.0,0.560043
112.0,112.0,3.0478882E-6
113.0,113.0,0.082348265
114.0,114.0,0.03795236
115.0,115.0,1.3147071E-5
116.0,116.0,0.00200665
117.0,117.0,4.9171893E-5
118.0,118.0,9.2126697E-4
119.0,119.0,0.07122767
120.0,120.0,1.0954456E-6
121.0,121.0,6.1970035E-4
122.0,122.0,0.010105783
123.0,123.0,0.22339188
124.0,124.0,0.027489921
125.0,125.0,0.022594336
126.0,126.0,5.014801E-4
127.0,127.0,0.3279457
128.0,128.0,0.41982532
129.0,129.0,0.006827797
130.0,130.0,0.04344138
131.0,131.0,0.031873975
132.0,132.0,0.34530383
133.0,133.0,0.04232879
134.0,134.0,5.5759083E-5
135.0,135.0,6.736935E-6
136.0,136.0,0.16428527
137.0,137.0,5.49441E-4
138.0,138.0,0.5611058
139.0,139.0,0.3732193
140.0,140.0,0.030159984
141.0,141.0,3.862052E-5
142.0,142.0,0.019825129
143.0,143.0,5.1257393E-5
144.0,144.0,0.54222023
145.0,145.0,0.0065716016
146.0,146.0,2.1316156E-4
147.0,147.0,3.4254165E-6
148.0,148.0,0.09673877
