Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.62088E-3,0.162087866,0.059561955,1,0,0
1.68001E-3,0.330088778,0.061666413,0.979166667,0,0
1.82661E-3,0.512749909,0.066863707,0.958333333,0,0
2.07748E-3,0.720497937,0.075690743,0.9375,0,0
2.12493E-3,0.93299057,0.077350759,0.916666667,0,0
5.0039E-3,1.433380121,0.172693767,0.895833333,0,0
5.22963E-3,1.956343144,0.179738977,0.875,0,0
5.71561E-3,2.527904163,0.194703523,0.854166667,0.04,0
5.93003E-3,3.120906689,0.201218808,0.833333333,0.04,0
6.40543E-3,3.761449847,0.215477268,0.8125,0.04,0
7.34304E-3,4.495754027,0.242856554,0.791666667,0.04,0
7.60174E-3,5.255928379,0.250241308,0.770833333,0.04,0
7.88532E-3,6.044460812,0.258253522,0.75,0.04,0
9.13776E-3,6.958236824,0.292627759,0.729166667,0.04,0
9.67287E-3,7.925523786,0.306824246,0.708333333,0.04,0
9.98899E-3,8.924422708,0.315076675,0.6875,0.04,0
1.03067E-2,9.955094652,0.323272153,0.666666667,0.04,0
1.10661E-2,11.061703351,0.342464093,0.645833333,0.04,0
1.10763E-2,12.169337447,0.342719488,0.625,0.04,0
1.3658E-2,13.535140639,0.403964927,0.604166667,0.04,0
1.40499E-2,14.94012837,0.412748111,0.583333333,0.08,0
1.4665E-2,16.406624497,0.426274861,0.5625,0.12,0
2.21775E-2,18.624373936,0.568388259,0.541666667,0.12,0
2.30182E-2,20.926192542,0.581918861,0.520833333,0.16,0
2.52749E-2,23.453678293,0.616178339,0.5,0.2,0
2.53845E-2,25.992127585,0.617769316,0.479166667,0.24,0
2.5876E-2,28.579727619,0.624821171,0.458333333,0.24,0
2.64063E-2,31.220358736,0.632283912,0.4375,0.24,0
2.64271E-2,33.863067819,0.63257329,0.416666667,0.24,0
2.78095E-2,36.644013001,0.651321263,0.395833333,0.28,0
2.81027E-2,39.454279816,0.655173284,0.375,0.32,0
2.92457E-2,42.37885457,0.669788064,0.354166667,0.36,0
3.03915E-2,45.418004358,0.683815423,0.333333333,0.4,0
3.04426E-2,48.462268499,0.684427486,0.3125,0.44,0
3.0764E-2,51.538663855,0.688245791,0.291666667,0.48,0
3.10401E-2,54.642669096,0.691489879,0.270833333,0.52,0
3.25506E-2,57.897732998,0.708650456,0.25,0.56,0
3.2783E-2,61.176028509,0.711203562,0.229166667,0.56,0
3.3074E-2,64.483428279,0.714370513,0.208333333,0.6,0
3.46639E-2,67.9498142,0.731067317,0.1875,0.64,0
3.4771E-2,71.426916989,0.732157038,0.166666667,0.68,0
3.49285E-2,74.919771187,0.733750675,0.145833333,0.72,0
3.80146E-2,78.721227779,0.763129313,0.125,0.76,0
3.92519E-2,82.646416749,0.773977075,0.104166667,0.8,0
4.16091E-2,86.807329971,0.793287563,0.083333333,0.84,0
4.23403E-2,91.041361914,0.798935355,0.0625,0.88,0
4.39928E-2,95.440637423,0.811137095,0.041666667,0.92,0
4.55936E-2,100,0.822251451,0.020833333,0.96,0
