variable,x,y
bio_6_asc,-75.1,0.9154019176959991
bio_6_asc,-74.7628,0.9154019176959991
bio_6_asc,-74.42559999999999,0.9154019176959991
bio_6_asc,-74.0884,0.9154019176959991
bio_6_asc,-73.7512,0.9154019176959991
bio_6_asc,-73.41399999999999,0.9154019176959991
bio_6_asc,-73.07679999999999,0.9154019176959991
bio_6_asc,-72.7396,0.9154019176959991
bio_6_asc,-72.4024,0.9154019176959991
bio_6_asc,-72.06519999999999,0.9154019176959991
bio_6_asc,-71.728,0.9154019176959991
bio_6_asc,-71.3908,0.9154019176959991
bio_6_asc,-71.05359999999999,0.9154019176959991
bio_6_asc,-70.7164,0.9154019176959991
bio_6_asc,-70.3792,0.9154019176959991
bio_6_asc,-70.04199999999999,0.9154019176959991
bio_6_asc,-69.70479999999999,0.9154019176959991
bio_6_asc,-69.3676,0.9154019176959991
bio_6_asc,-69.0304,0.9154019176959991
bio_6_asc,-68.69319999999999,0.9154019176959991
bio_6_asc,-68.356,0.9154019176959991
bio_6_asc,-68.0188,0.9154019176959991
bio_6_asc,-67.68159999999999,0.9154019176959991
bio_6_asc,-67.3444,0.9154019176959991
bio_6_asc,-67.0072,0.9154019176959991
bio_6_asc,-66.66999999999999,0.9154019176959991
bio_6_asc,-66.33279999999999,0.9154019176959991
bio_6_asc,-65.9956,0.9154019176959991
bio_6_asc,-65.65839999999999,0.9154019176959991
bio_6_asc,-65.32119999999999,0.9154019176959991
bio_6_asc,-64.984,0.9154019176959991
bio_6_asc,-64.6468,0.9154019176959991
bio_6_asc,-64.30959999999999,0.9154019176959991
bio_6_asc,-63.97239999999999,0.9154019176959991
bio_6_asc,-63.6352,0.9154019176959991
bio_6_asc,-63.297999999999995,0.9154019176959991
bio_6_asc,-62.96079999999999,0.9154019176959991
bio_6_asc,-62.623599999999996,0.9154019176959991
bio_6_asc,-62.28639999999999,0.9154019176959991
bio_6_asc,-61.94919999999999,0.9154019176959991
bio_6_asc,-61.611999999999995,0.9154019176959991
bio_6_asc,-61.27479999999999,0.9154019176959991
bio_6_asc,-60.93759999999999,0.9154019176959991
