"","sp","lon","lat","oppc"
"120","haddadus_binotatus",-41.18472,-20.60361,617
"121","haddadus_binotatus",-45.83,-23.63,660
"122","haddadus_binotatus",-42.81861,-22.91944,649
"123","haddadus_binotatus",-43.31167,-22.78556,648
"124","haddadus_binotatus",-46.6,-23.4,659
"125","haddadus_binotatus",-39.04944,-14.78889,505
"126","haddadus_binotatus",-41.023056,-20.401944,617
"127","haddadus_binotatus",-44.44667,-22.46889,647
"128","haddadus_binotatus",-42.96556,-22.41222,649
"129","haddadus_binotatus",-48.32889,-25.30667,NA
"130","haddadus_binotatus",-40.552625,-19.668056,600
"131","haddadus_binotatus",-39.02472,-16.27806,545
"132","haddadus_binotatus",-41.112778,-20.848889,617
"133","haddadus_binotatus",-48.77889,-22.19306,643
"134","haddadus_binotatus",-44.148056,-23.141111,NA
"135","haddadus_binotatus",-46.63611,-23.5475,659
"136","haddadus_binotatus",-46.78889,-24.18306,NA
"137","haddadus_binotatus",-42.53889,-21.77056,634
"138","haddadus_binotatus",-40.416667,-20.266667,618
"139","haddadus_binotatus",-43.2333,-22.9333,648
"140","haddadus_binotatus",-39.844167,-18.355278,NA
"141","haddadus_binotatus",-42.53111,-22.28194,649
"142","haddadus_binotatus",-40.406667,-19.9325,600
"143","haddadus_binotatus",-49.2164,-26.7333,678
"144","haddadus_binotatus",-40.58,-19.83,600
"145","haddadus_binotatus",-41.66111,-22.18722,NA
"146","haddadus_binotatus",-43.36222,-19.82611,597
"147","haddadus_binotatus",-38.94722,-15.675,NA
"148","haddadus_binotatus",-44.13556,-22.72306,647
"149","haddadus_binotatus",-44.31806,-23.00667,NA
"150","haddadus_binotatus",-44.10417,-22.52306,647
"151","haddadus_binotatus",-39.06472,-16.44972,545
"152","haddadus_binotatus",-40.60028,-19.93556,600
"153","haddadus_binotatus",-39.49139,-13.60167,484
"154","haddadus_binotatus",-48.2666667,-24.3,666
"155","haddadus_binotatus",-48.00222,-24.6925,666
"156","haddadus_binotatus",-48.77861,-27.68806,685
"157","haddadus_binotatus",-40.07222,-19.39111,600
"158","haddadus_binotatus",-40.600278,-19.936389,600
"159","haddadus_binotatus",-42.98028,-20.87417,616
"160","haddadus_binotatus",-42.06639,-22.06333,649
"161","haddadus_binotatus",-43.4075,-20.07472,615
"162","haddadus_binotatus",-42.20417,-22.48056,649
"163","haddadus_binotatus",-41.184722,-20.603611,617
"164","haddadus_binotatus",-43.10361,-22.88333,648
"165","haddadus_binotatus",-40.33778,-20.31944,618
"166","haddadus_binotatus",-39.53111,-17.03917,564
"167","haddadus_binotatus",-42.02778,-22.96611,649
"168","haddadus_binotatus",-39.732222,-18.593333,NA
