Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.09333E-3,0.409332674,0.036298241,1,0,0
4.50951E-3,0.860283829,0.03991422,0.916666667,0,0
1.41813E-2,2.278417885,0.120229739,0.833333333,0,0
2.95808E-2,5.236498863,0.234473787,0.75,0,0
5.74907E-2,10.985570832,0.405057824,0.666666667,0,0
9.60505E-2,20.590620386,0.580036028,0.583333333,0,0
1.13763E-1,31.966917783,0.642126678,0.5,0.166666667,0
1.24803E-1,44.447183693,0.676091218,0.416666667,0.166666667,0
1.27334E-1,57.180545668,0.683412151,0.333333333,0.333333333,0
1.27447E-1,69.92525555,0.683736491,0.25,0.5,0
1.35198E-1,83.445041931,0.705120693,0.166666667,0.666666667,0
1.6555E-1,100,0.775828581,0.083333333,0.833333333,0
1.6555E-1,100,0.775828581,0,0.833333333,0
