sp	long	lat	base
proceratophrys_boiei	-48.2978222386	-25.1831353026	inat
proceratophrys_boiei	-38.2553172112	-12.4760930901	inat
proceratophrys_boiei	-42.77114	-22.4525	inat
proceratophrys_boiei	-42.77114	-22.4525	inat
proceratophrys_boiei	-45.083848	-23.433658	inat
proceratophrys_boiei	-43.1054251031	-22.5496707721	inat
proceratophrys_boiei	-43.1503145532	-22.5433489476	inat
proceratophrys_boiei	-43.9031293	-19.9473866	inat
proceratophrys_boiei	-42.8605735302	-20.7572676086	inat
proceratophrys_boiei	-42.6089820133	-22.4162178105	inat
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-49.33333	-26.28333	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-37.41667	-11.41667	vertnet
proceratophrys_boiei	-43.16667	-22.51667	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-47.46021	-24.17777	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-51.18333	-27.75	vertnet
proceratophrys_boiei	-51.18333	-27.75	vertnet
proceratophrys_boiei	-49.23333	-26.43333	vertnet
proceratophrys_boiei	-49.23333	-26.43333	vertnet
proceratophrys_boiei	-43.23333	-22.9	vertnet
proceratophrys_boiei	-49.23333	-26.43333	vertnet
proceratophrys_boiei	-40.600278	-19.935556	vertnet
proceratophrys_boiei	-41.184722	-20.603611	vertnet
proceratophrys_boiei	-40.600278	-19.935556	vertnet
proceratophrys_boiei	-42.139444	-19.790556	vertnet
proceratophrys_boiei	-40.600278	-19.935556	vertnet
proceratophrys_boiei	-42.139444	-19.790556	vertnet
proceratophrys_boiei	-42.139444	-19.790556	vertnet
proceratophrys_boiei	-42.139444	-19.790556	vertnet
proceratophrys_boiei	-42.139444	-19.790556	vertnet
proceratophrys_boiei	-40.600278	-19.935556	vertnet
proceratophrys_boiei	-40.541667	-19.412778	vertnet
proceratophrys_boiei	-41.184722	-20.603611	vertnet
proceratophrys_boiei	-40.600278	-19.935556	vertnet
proceratophrys_boiei	-40.600278	-19.935556	vertnet
proceratophrys_boiei	-40.746111	-20.040556	vertnet
proceratophrys_boiei	-41.023056	-20.401944	vertnet
proceratophrys_boiei	-48.69	-24.68	vertnet
proceratophrys_boiei	-43.24	-22.96	vertnet
proceratophrys_boiei	-43.24	-22.96	vertnet
proceratophrys_boiei	-43.23333	-22.93333	vertnet
proceratophrys_boiei	-40.54216	-19.909611	vertnet
proceratophrys_boiei	-47.06	-22.9	vertnet
proceratophrys_boiei	-43.846667	-19.985833	vertnet
proceratophrys_boiei	-43.178333	-22.505	vertnet
proceratophrys_boiei	-43.178333	-22.505	vertnet
proceratophrys_boiei	-43.178333	-22.505	vertnet
proceratophrys_boiei	-47.419722	-23.71	vertnet
proceratophrys_boiei	-47.419722	-23.71	vertnet
proceratophrys_boiei	-45.31	-23.22	vertnet
proceratophrys_boiei	-45.31	-23.22	vertnet
proceratophrys_boiei	-45.31	-23.22	vertnet
proceratophrys_boiei	-48.36	-24.090278	vertnet
proceratophrys_boiei	-44.855556	-22.544722	vertnet
proceratophrys_boiei	-44.855	-22.545	vertnet
proceratophrys_boiei	-44.855556	-22.545833	vertnet
proceratophrys_boiei	-35.091944	-8.118611	vertnet
proceratophrys_boiei	-35.091944	-8.118611	vertnet
proceratophrys_boiei	-35.091944	-8.118611	vertnet
proceratophrys_boiei	-35.091944	-8.118611	vertnet
proceratophrys_boiei	-45.165278	-22.613333	vertnet
proceratophrys_boiei	-45.165278	-22.613333	vertnet
proceratophrys_boiei	-48.834167	-25.476944	vertnet
proceratophrys_boiei	-48.834167	-25.476944	vertnet
proceratophrys_boiei	-48.834167	-25.476944	vertnet
proceratophrys_boiei	-49.378333	-26.250556	vertnet
proceratophrys_boiei	-49.378333	-26.250556	vertnet
proceratophrys_boiei	-49.378333	-26.250556	vertnet
proceratophrys_boiei	-49.378333	-26.250556	vertnet
proceratophrys_boiei	-49.378333	-26.250556	vertnet
proceratophrys_boiei	-42.881667	-20.754167	vertnet
proceratophrys_boiei	-46.88	-23.180278	vertnet
proceratophrys_boiei	-48.759722	-24.22	vertnet
proceratophrys_boiei	-48.759722	-24.22	vertnet
proceratophrys_boiei	-48.759722	-24.22	vertnet
proceratophrys_boiei	-47.919722	-25.010278	vertnet
proceratophrys_boiei	-42.965556	-22.412222	vertnet
proceratophrys_boiei	-42.965556	-22.412222	vertnet
proceratophrys_boiei	-49.378333	-26.250556	vertnet
proceratophrys_boiei	-46.83	-23	vertnet
proceratophrys_boiei	-46.83	-23	vertnet
proceratophrys_boiei	-48.59	-24.58	vertnet
proceratophrys_boiei	-48.34	-24	vertnet
proceratophrys_boiei	-48.34	-24	vertnet
proceratophrys_boiei	-46.549722	-23.110278	vertnet
proceratophrys_boiei	-48.759722	-24.22	vertnet
proceratophrys_boiei	-48.34	-24	vertnet
proceratophrys_boiei	-45.933333	-23.066667	vertnet
proceratophrys_boiei	-48.371389	-24.097778	vertnet
proceratophrys_boiei	-49.33333	-26.28333	vertnet
proceratophrys_boiei	-49.5667	-28.6667	vertnet
proceratophrys_boiei	-43.1167	-22.9833	vertnet
proceratophrys_boiei	-43.1167	-22.9833	vertnet
proceratophrys_boiei	-40.6	-19.9167	vertnet
proceratophrys_boiei	-49.2333	-26.4333	vertnet
proceratophrys_boiei	-43.9333	-19.9167	vertnet
proceratophrys_boiei	-48.9333	-26.2	vertnet
proceratophrys_boiei	-47.2833	-23.2	vertnet
proceratophrys_boiei	-49.25	-25.4167	vertnet
proceratophrys_boiei	-42.98	-22.43	vertnet
proceratophrys_boiei	-48.5833	-24.5833	vertnet
proceratophrys_boiei	-40.58	-19.83	vertnet
proceratophrys_boiei	-49.25	-25.4167	vertnet
proceratophrys_boiei	-42.98	-22.43	vertnet
proceratophrys_boiei	-49.25	-25.4167	vertnet
proceratophrys_boiei	-42.98	-22.43	vertnet
proceratophrys_boiei	-49.5667	-28.6667	vertnet
proceratophrys_boiei	-42.5333	-22.2667	vertnet
proceratophrys_boiei	-42.98	-22.43	vertnet
proceratophrys_boiei	-43.2333	-22.9333	vertnet
proceratophrys_boiei	-48.9333	-26.2	vertnet
proceratophrys_boiei	-49.25	-25.4167	vertnet
proceratophrys_boiei	-42.5333	-22.2667	vertnet
proceratophrys_boiei	-42.98	-22.43	vertnet
proceratophrys_boiei	-42.98	-22.43	vertnet
proceratophrys_boiei	-49.1761	-26.73	vertnet
proceratophrys_boiei	-43.10361	-22.88333	idigbio
proceratophrys_boiei	-40.600278	-19.935556	idigbio
proceratophrys_boiei	-42.06639	-22.06333	idigbio
proceratophrys_boiei	-42.98194	-22.53722	idigbio
proceratophrys_boiei	-49.1666667	-26.7	idigbio
proceratophrys_boiei	-49.1666667	-26.7	idigbio
proceratophrys_boiei	-42.65306	-22.4625	idigbio
proceratophrys_boiei	-42.65306	-22.4625	idigbio
proceratophrys_boiei	-42.65306	-22.4625	idigbio
proceratophrys_boiei	-43.4075	-20.07472	idigbio
proceratophrys_boiei	-42.65306	-22.4625	idigbio
proceratophrys_boiei	-43.4075	-20.07472	idigbio
proceratophrys_boiei	-43.4075	-20.07472	idigbio
proceratophrys_boiei	-48.77861	-27.68806	idigbio
proceratophrys_boiei	-41.18472	-20.60361	idigbio
proceratophrys_boiei	-44.13556	-22.72306	idigbio
proceratophrys_boiei	-45.94722	-21.42917	idigbio
proceratophrys_boiei	-44.29028	-22.41972	idigbio
proceratophrys_boiei	-44.13556	-22.72306	idigbio
proceratophrys_boiei	-43.4075	-20.07472	idigbio
proceratophrys_boiei	-41.18472	-20.60361	idigbio
proceratophrys_boiei	-44.13556	-22.72306	idigbio
proceratophrys_boiei	-49.1666667	-26.7	idigbio
proceratophrys_boiei	-37.51167	-11.51917	idigbio
proceratophrys_boiei	-49.25	-25.4167	idigbio
