x,y,species cloglog values
1.0,1.0,0.21842512
2.0,2.0,0.064491086
3.0,3.0,0.0011678226
4.0,4.0,0.022429502
5.0,5.0,0.00829796
6.0,6.0,0.005564852
7.0,7.0,0.25448227
8.0,8.0,0.99992585
9.0,9.0,0.017080253
10.0,10.0,0.0035760156
11.0,11.0,0.015545047
12.0,12.0,0.24240673
13.0,13.0,0.038196463
14.0,14.0,0.001996852
15.0,15.0,1.6223434E-4
16.0,16.0,1.1962485E-4
17.0,17.0,0.3350456
18.0,18.0,0.015721168
19.0,19.0,0.05627222
20.0,20.0,0.12781507
21.0,21.0,0.26258418
22.0,22.0,0.012866263
23.0,23.0,0.039778024
24.0,24.0,0.15982138
25.0,25.0,0.020037863
26.0,26.0,0.039402258
27.0,27.0,0.041775387
28.0,28.0,0.0138251595
29.0,29.0,0.0018077471
30.0,30.0,0.29341558
31.0,31.0,0.0014842951
32.0,32.0,0.010534336
33.0,33.0,0.6686922
34.0,34.0,0.22341755
35.0,35.0,0.2957531
36.0,36.0,1.4737938E-4
37.0,37.0,0.07300781
38.0,38.0,0.09817978
39.0,39.0,0.004583063
40.0,40.0,0.34583938
41.0,41.0,0.005623514
42.0,42.0,0.081872724
43.0,43.0,0.3304897
44.0,44.0,0.20850772
45.0,45.0,0.068629675
46.0,46.0,3.4031487E-4
47.0,47.0,0.002584783
48.0,48.0,0.0011755483
49.0,49.0,0.3026572
50.0,50.0,0.09572647
51.0,51.0,0.010626722
52.0,52.0,0.031976756
53.0,53.0,0.03362864
54.0,54.0,0.008452399
55.0,55.0,0.007885342
56.0,56.0,6.451115E-5
57.0,57.0,0.09532878
58.0,58.0,0.0026393034
59.0,59.0,0.32836977
60.0,60.0,0.44468144
61.0,61.0,0.07602468
62.0,62.0,0.12887399
63.0,63.0,8.806006E-4
64.0,64.0,0.069358535
65.0,65.0,0.006756119
66.0,66.0,0.021723779
67.0,67.0,0.04590584
68.0,68.0,0.006693238
69.0,69.0,0.5682182
70.0,70.0,3.033059E-4
71.0,71.0,0.003368262
72.0,72.0,5.317764E-4
73.0,73.0,0.014614743
74.0,74.0,0.03564388
75.0,75.0,0.006448792
76.0,76.0,0.032724362
77.0,77.0,0.32567382
78.0,78.0,0.0025809628
79.0,79.0,0.081124194
80.0,80.0,0.08843094
81.0,81.0,4.0347624E-4
82.0,82.0,0.019118682
83.0,83.0,0.035763726
84.0,84.0,0.00406355
85.0,85.0,0.35221222
86.0,86.0,6.9012993E-4
87.0,87.0,0.10266604
88.0,88.0,4.2522853E-4
89.0,89.0,0.3690541
90.0,90.0,0.16846666
91.0,91.0,0.006533368
92.0,92.0,0.002090708
93.0,93.0,0.09307605
94.0,94.0,0.7938369
95.0,95.0,0.05594495
96.0,96.0,0.19199562
97.0,97.0,0.22270532
98.0,98.0,0.22153227
99.0,99.0,0.0022608791
100.0,100.0,0.09260938
101.0,101.0,0.010758159
102.0,102.0,0.22660904
103.0,103.0,0.30583638
104.0,104.0,3.6849353E-5
105.0,105.0,0.01750716
106.0,106.0,0.051685616
107.0,107.0,2.5903023E-4
108.0,108.0,0.002199834
109.0,109.0,0.004285783
110.0,110.0,2.304227E-4
111.0,111.0,0.25687483
112.0,112.0,0.22279166
113.0,113.0,0.5942429
114.0,114.0,0.73326147
115.0,115.0,0.081662945
116.0,116.0,0.009414476
117.0,117.0,0.19507343
118.0,118.0,0.0017949191
119.0,119.0,0.26962218
120.0,120.0,0.011747852
121.0,121.0,0.01656497
122.0,122.0,0.007284902
123.0,123.0,2.1131459E-4
124.0,124.0,0.005851489
125.0,125.0,0.013665054
126.0,126.0,9.89931E-5
127.0,127.0,0.0063034683
128.0,128.0,0.52187765
129.0,129.0,0.025779847
130.0,130.0,0.18204385
131.0,131.0,0.02940943
132.0,132.0,0.1300838
133.0,133.0,0.0053921193
134.0,134.0,0.0214321
135.0,135.0,5.0466097E-5
136.0,136.0,0.019406602
137.0,137.0,0.0046338267
138.0,138.0,0.03058816
139.0,139.0,0.017189471
140.0,140.0,0.043680638
141.0,141.0,0.10978591
142.0,142.0,0.26472154
143.0,143.0,0.22409719
144.0,144.0,1.0247377E-4
145.0,145.0,0.0058583766
146.0,146.0,0.5860127
147.0,147.0,0.32991874
148.0,148.0,0.11552922
