x,y,species cloglog values
1.0,1.0,0.5630501
2.0,2.0,0.018974299
3.0,3.0,5.4987945E-4
4.0,4.0,0.054478917
5.0,5.0,4.6211124E-5
6.0,6.0,2.6394264E-4
7.0,7.0,0.0037715696
8.0,8.0,1.9438357E-5
9.0,9.0,6.350931E-4
10.0,10.0,0.122739196
11.0,11.0,1.968888E-8
12.0,12.0,0.1476625
13.0,13.0,1.8317268E-4
14.0,14.0,0.15520994
15.0,15.0,1.7473837E-6
16.0,16.0,0.024156936
17.0,17.0,3.0359832E-4
18.0,18.0,3.2526697E-4
19.0,19.0,0.004421585
20.0,20.0,0.98069465
21.0,21.0,2.361868E-5
22.0,22.0,0.05268855
23.0,23.0,0.25968128
24.0,24.0,0.005439642
25.0,25.0,6.514564E-6
26.0,26.0,0.09072448
27.0,27.0,0.04753751
28.0,28.0,0.020979095
29.0,29.0,0.11492211
30.0,30.0,6.259527E-4
31.0,31.0,1.154983E-8
32.0,32.0,0.01054598
33.0,33.0,0.020215739
34.0,34.0,1.8693548E-7
35.0,35.0,0.0054370477
36.0,36.0,1.2722668E-5
37.0,37.0,0.0021215826
38.0,38.0,0.016046304
39.0,39.0,2.8151024E-5
40.0,40.0,0.24700086
41.0,41.0,0.007585156
42.0,42.0,0.19272132
43.0,43.0,0.054384805
44.0,44.0,0.06642731
45.0,45.0,0.35618883
46.0,46.0,0.022645216
47.0,47.0,0.041122813
48.0,48.0,0.2807893
49.0,49.0,0.04918217
50.0,50.0,0.18345915
51.0,51.0,0.33165342
52.0,52.0,0.016984152
53.0,53.0,0.01676057
54.0,54.0,8.670309E-4
55.0,55.0,0.0011079554
56.0,56.0,0.34395778
57.0,57.0,0.0074762465
58.0,58.0,6.1361404E-4
59.0,59.0,0.99214745
60.0,60.0,0.24666461
61.0,61.0,5.831917E-4
62.0,62.0,0.017190384
63.0,63.0,0.11207104
64.0,64.0,4.071069E-4
65.0,65.0,3.3049638E-4
66.0,66.0,0.025054146
67.0,67.0,3.2247782E-9
68.0,68.0,0.20216595
69.0,69.0,2.6566355E-4
70.0,70.0,0.15241897
71.0,71.0,0.12403677
72.0,72.0,0.17853884
73.0,73.0,0.013869424
74.0,74.0,2.2277422E-4
75.0,75.0,8.123135E-4
76.0,76.0,0.02789495
77.0,77.0,0.008646047
78.0,78.0,2.821749E-4
79.0,79.0,5.159725E-7
80.0,80.0,3.0439369E-6
81.0,81.0,0.68643624
82.0,82.0,0.10660187
83.0,83.0,0.002186167
84.0,84.0,0.016900811
85.0,85.0,0.005917192
86.0,86.0,2.2390039E-7
87.0,87.0,0.0013857444
88.0,88.0,4.7910726E-5
89.0,89.0,0.0014325976
90.0,90.0,2.986828E-4
91.0,91.0,3.317946E-5
92.0,92.0,0.062449913
93.0,93.0,5.3359655E-4
94.0,94.0,0.081004605
95.0,95.0,0.08533605
96.0,96.0,0.018886881
97.0,97.0,0.08719883
98.0,98.0,0.0028709644
99.0,99.0,1.5912086E-5
100.0,100.0,0.5488215
101.0,101.0,0.0010856688
102.0,102.0,0.06372971
103.0,103.0,0.44803378
104.0,104.0,3.0418653E-6
105.0,105.0,1.2681313E-4
106.0,106.0,0.999291
107.0,107.0,2.450625E-4
108.0,108.0,4.3111477E-6
109.0,109.0,0.0015537856
110.0,110.0,4.2523798E-6
111.0,111.0,0.16424382
112.0,112.0,0.108124726
113.0,113.0,0.003766272
114.0,114.0,0.0037252994
115.0,115.0,0.051393054
116.0,116.0,0.0075636758
117.0,117.0,7.829031E-4
118.0,118.0,0.6986761
119.0,119.0,3.7633792E-5
120.0,120.0,2.8250188E-8
121.0,121.0,0.00160319
122.0,122.0,0.088190414
123.0,123.0,0.008779682
124.0,124.0,0.15558068
125.0,125.0,0.14660001
126.0,126.0,2.686514E-4
127.0,127.0,1.0468234E-4
128.0,128.0,0.019974757
129.0,129.0,5.7311985E-4
130.0,130.0,0.047462847
131.0,131.0,0.15377308
132.0,132.0,0.23579869
133.0,133.0,0.007713838
134.0,134.0,0.0051311413
135.0,135.0,0.034770288
136.0,136.0,0.021911401
137.0,137.0,0.061088867
138.0,138.0,1.0933043E-6
139.0,139.0,0.037333347
140.0,140.0,0.52829045
141.0,141.0,0.11544912
142.0,142.0,0.9146454
143.0,143.0,6.736542E-6
144.0,144.0,6.7066608E-6
145.0,145.0,0.00874594
146.0,146.0,4.840687E-5
147.0,147.0,0.006039871
148.0,148.0,0.06144123
