Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.32403E-4,0.063240278,0.015189454,1,0,0
3.14708E-3,0.377948309,0.073339986,0.96875,0,0
4.36176E-3,0.814124241,0.100186106,0.9375,0,0
8.12263E-3,1.626386792,0.178473655,0.90625,0,0
9.38148E-3,2.564534342,0.203126331,0.875,0,0
9.44953E-3,3.509487026,0.204437735,0.84375,0,0
1.05943E-2,4.568921636,0.226178563,0.8125,0,0
1.09539E-2,5.664316157,0.232884178,0.78125,0,0
1.32374E-2,6.988058007,0.274129902,0.75,0,0
1.33429E-2,8.322347146,0.275980506,0.71875,0,0
1.34829E-2,9.670637813,0.278429895,0.6875,0,0
1.35424E-2,11.024882002,0.279468876,0.65625,0,0
1.57341E-2,12.598287378,0.316692348,0.625,0,0
1.6044E-2,14.202691913,0.321799817,0.59375,0,0
1.65435E-2,15.857039206,0.329948288,0.5625,0,0
2.09172E-2,17.948756819,0.397252425,0.53125,0,0
2.10501E-2,20.053765907,0.399188303,0.5,0.0625,0
2.27721E-2,22.3309767,0.423714197,0.46875,0.125,0
3.67827E-2,26.009249547,0.589446698,0.4375,0.125,0
4.73102E-2,30.740267367,0.681790262,0.40625,0.1875,0
4.79047E-2,35.530739426,0.686336405,0.375,0.25,0
5.06636E-2,40.597099551,0.706596709,0.34375,0.3125,0
5.25768E-2,45.854778324,0.719872914,0.3125,0.375,0
5.48804E-2,51.342820095,0.735063863,0.28125,0.4375,0
5.51408E-2,56.856899435,0.736728202,0.25,0.5,0
5.51699E-2,62.373886462,0.736913413,0.21875,0.5625,0
5.75987E-2,68.133757128,0.75193315,0.1875,0.625,0
5.78863E-2,73.922386342,0.753653801,0.15625,0.6875,0
5.88082E-2,79.803209219,0.759089788,0.125,0.75,0
6.01979E-2,85.82300057,0.767057914,0.09375,0.8125,0
6.73093E-2,92.553931063,0.803890454,0.0625,0.875,0
7.44607E-2,100,0.835058806,0.03125,0.9375,0
7.44607E-2,100,0.835058806,0.03125,1,0
