X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.05716911637740981,76.2036701750155,0.7730681392926528
2.0,2.0,train,0.05995536062515186,93.96225290121347,0.7888924184790974
3.0,3.0,train,0.04978164070364195,54.931383235861446,0.7251298433575094
4.0,4.0,train,0.05958063079480055,87.96783931595958,0.7868301493433574
5.0,5.0,train,0.048111167152764506,49.95049518334285,0.7129561583924213
6.0,6.0,train,0.05499796133182478,70.48659220591867,0.7599193700713825
7.0,7.0,train,0.03474774910500253,28.661946002706532,0.5940157260482819
8.0,8.0,train,0.04349935861722714,40.64291605379915,0.676474978685437
9.0,9.0,train,0.05072394169874514,64.98690825873041,0.731767737535273
10.0,10.0,train,0.058057205121559756,82.00930365457377,0.7782366939290248
11.0,11.0,train,0.03969102909747865,36.29306069399787,0.6428793223659788
12.0,12.0,train,0.049857509533959656,59.9145162491761,0.7256703166206242
13.0,13.0,train,0.06037117234275843,99.999598436725,0.7911574320926091
14.0,14.0,train,0.020170229787324363,17.876461446351247,0.40741719555250466
15.0,15.0,train,0.021585048112628007,20.035061768133303,0.42877293069526756
16.0,16.0,train,0.03662074555938325,32.323983445485894,0.6132709356149826
