Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.5566E-3,0.355659748,0.027993655,1,0,0
6.76967E-3,1.032627162,0.052609112,0.916666667,0,0
6.7989E-3,1.712517344,0.052830141,0.833333333,0,0
7.16284E-3,2.428801299,0.055578034,0.75,0,0
4.14554E-2,6.574336626,0.28175563,0.666666667,0,0
6.26933E-2,12.84367089,0.393767707,0.583333333,0,0
1.07045E-1,23.548166089,0.574529128,0.5,0,0
1.20237E-1,35.571834506,0.617057611,0.416666667,0.166666667,0
1.21412E-1,47.713066848,0.620634841,0.333333333,0.333333333,0
1.37408E-1,61.453858912,0.66611269,0.25,0.5,0
1.51933E-1,76.647160839,0.70266867,0.166666667,0.666666667,0
2.33528E-1,100,0.844995087,0.083333333,0.833333333,0
