Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.31548E-3,0.131547606,0.048969711,1,0,0
1.5024E-3,0.281787418,0.055730672,0.979591837,0,0
1.56173E-3,0.437960515,0.057866672,0.959183673,0,0
1.5622E-3,0.594180572,0.057883558,0.93877551,0,0
2.1263E-3,0.806810084,0.077950971,0.918367347,0,0
2.72545E-3,1.079354845,0.098797647,0.897959184,0,0
3.08898E-3,1.388253154,0.111215925,0.87755102,0,0
3.74064E-3,1.762316716,0.133049476,0.857142857,0,0
4.25254E-3,2.187570932,0.149824029,0.836734694,0,0
4.84808E-3,2.672378596,0.168930964,0.816326531,0,0
5.67888E-3,3.240266567,0.194870929,0.795918367,0,0
6.01208E-3,3.841474266,0.20504536,0.775510204,0,0
7.36364E-3,4.577838479,0.245014734,0.755102041,0.04,0
7.38984E-3,5.316821997,0.245769147,0.734693878,0.04,0
8.32242E-3,6.14906422,0.272143937,0.714285714,0.04,0
1.01481E-2,7.163870589,0.3211353,0.693877551,0.04,0
1.19089E-2,8.354763348,0.36526168,0.673469388,0.04,0
1.3054E-2,9.660165002,0.392406044,0.653061224,0.04,0
1.31778E-2,10.977945849,0.395270103,0.632653061,0.04,0
1.4772E-2,12.455143887,0.430968828,0.612244898,0.04,0
1.62353E-2,14.078674999,0.461879506,0.591836735,0.04,0
1.89973E-2,15.978407522,0.515720914,0.571428571,0.08,0
1.92297E-2,17.901374858,0.519996665,0.551020408,0.12,0
2.18496E-2,20.086332643,0.565673748,0.530612245,0.12,0
2.28533E-2,22.371663884,0.581998412,0.510204082,0.12,0
2.35286E-2,24.724524691,0.592634668,0.489795918,0.16,0
2.55597E-2,27.280493932,0.623021729,0.469387755,0.2,0
2.59426E-2,29.874752027,0.628490893,0.448979592,0.24,0
2.666E-2,32.540752704,0.638525854,0.428571429,0.28,0
2.71511E-2,35.255858632,0.645237723,0.408163265,0.28,0
2.79775E-2,38.053604156,0.656253018,0.387755102,0.32,0
2.80956E-2,40.863160401,0.657799122,0.367346939,0.32,0
2.82536E-2,43.688516367,0.659856544,0.346938776,0.36,0
2.88576E-2,46.574271613,0.667608287,0.326530612,0.4,0
2.89333E-2,49.467603809,0.668568171,0.306122449,0.44,0
2.90335E-2,52.370953379,0.669832965,0.285714286,0.48,0
2.90916E-2,55.280115179,0.670564604,0.265306122,0.52,0
2.92338E-2,58.203498548,0.672347973,0.244897959,0.56,0
3.21426E-2,61.417754762,0.706777651,0.224489796,0.6,0
3.23427E-2,64.652020456,0.709008537,0.204081633,0.64,0
3.393E-2,68.045023098,0.726115393,0.183673469,0.64,0
3.49823E-2,71.543251789,0.736897425,0.163265306,0.68,0
3.71384E-2,75.257094716,0.757682735,0.142857143,0.72,0
3.84199E-2,79.0990879,0.76924992,0.12244898,0.76,0
3.95383E-2,83.052914854,0.778892221,0.102040816,0.8,0
4.00711E-2,87.060022176,0.783343293,0.081632653,0.84,0
4.10873E-2,91.168750582,0.79158586,0.06122449,0.88,0
4.34515E-2,95.51389573,0.809568773,0.040816327,0.92,0
4.4861E-2,100,0.819543538,0.020408163,0.96,0
4.4861E-2,100,0.819543557,0,0.96,0
