X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.006078839995150465,16.749038198894755,0.5046899530315943
2.0,2.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
3.0,3.0,train,0.00716214021586824,27.95366307140363,0.5629796236484765
4.0,4.0,train,0.008684410300397363,44.798536573881,0.6334843956131835
5.0,5.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
6.0,6.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
7.0,7.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
8.0,8.0,train,0.007982373787038241,32.70353608901075,0.6025059142293281
9.0,9.0,train,0.008800871503449721,56.96852204336479,0.6383847095618115
10.0,10.0,train,0.008040659844056525,38.29664797771267,0.6051746346774589
11.0,11.0,train,0.008684410300397363,44.798536573881,0.6334843956131835
12.0,12.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
13.0,13.0,train,0.030219687751784498,90.24696181050457,0.9695809813932286
14.0,14.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
15.0,15.0,train,0.00716214021586824,27.95366307140363,0.5629796236484765
16.0,16.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
17.0,17.0,train,1.313916121819025E-4,0.19138710091458855,0.015071066596930582
18.0,18.0,train,0.009619706498301588,68.59916471166832,0.671037820129119
19.0,19.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
20.0,20.0,train,0.06334968735061268,99.99999725278789,0.9993389878328565
21.0,21.0,train,0.009619706498301588,68.59916471166832,0.671037820129119
22.0,22.0,train,0.008800871503449721,56.96852204336479,0.6383847095618115
23.0,23.0,train,0.008684410300397363,44.798536573881,0.6334843956131835
24.0,24.0,train,0.008800871503449721,56.96852204336479,0.6383847095618115
25.0,25.0,train,0.009619706498301588,68.59916471166832,0.671037820129119
26.0,26.0,train,0.03418071647520998,93.66503827010978,0.9807547170271049
27.0,27.0,train,0.008684410300397363,44.798536573881,0.6334843956131835
28.0,28.0,train,0.009619706498301588,68.59916471166832,0.671037820129119
29.0,29.0,train,0.009619706498301588,68.59916471166832,0.671037820129119
30.0,30.0,train,0.007902544932209727,28.744161952285864,0.5988215266238794
31.0,31.0,train,0.008684410300397363,44.798536573881,0.6334843956131835
