Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.28095E-3,0.128095273,0.02863794,1,0,0
2.03956E-3,0.33205102,0.045209688,0.96875,0,0
2.33434E-3,0.565484675,0.051572607,0.9375,0,0
2.6365E-3,0.829134245,0.058050819,0.90625,0,0
3.95521E-3,1.224655583,0.08580976,0.875,0,0
4.63606E-3,1.688261698,0.099819825,0.84375,0,0
5.54124E-3,2.242385837,0.118114153,0.8125,0,0
5.88424E-3,2.830809671,0.124948815,0.78125,0,0
6.09954E-3,3.440763688,0.1292119,0.75,0,0
6.40125E-3,4.08088823,0.135150895,0.71875,0,0
8.24435E-3,4.90532354,0.170562625,0.6875,0,0
8.91514E-3,5.796837975,0.183087517,0.65625,0,0
1.17901E-2,6.975846032,0.234660566,0.625,0,0
1.73551E-2,8.711356232,0.325421954,0.59375,0,0
2.73499E-2,11.446348253,0.462260794,0.5625,0,0
3.16191E-2,14.608259593,0.511892795,0.53125,0,0
3.80577E-2,18.414032105,0.578218567,0.5,0.0625,0
3.97098E-2,22.385016573,0.593732416,0.46875,0.125,0
4.00957E-2,26.394591036,0.597273125,0.4375,0.1875,0
4.24249E-2,30.637083006,0.617998078,0.40625,0.25,0
4.82918E-2,35.46626264,0.665597098,0.375,0.25,0
5.0614E-2,40.52766127,0.682755732,0.34375,0.3125,0
5.20455E-2,45.732207459,0.692891316,0.3125,0.375,0
5.26485E-2,50.997058064,0.697063631,0.28125,0.4375,0
5.60965E-2,56.606709385,0.719853911,0.25,0.5,0
5.70139E-2,62.30809943,0.725623293,0.21875,0.5625,0
5.81688E-2,68.124980982,0.732717828,0.1875,0.625,0
6.07389E-2,74.198870843,0.747854219,0.15625,0.6875,0
6.28517E-2,80.484037625,0.75965312,0.125,0.75,0
6.41873E-2,86.902769441,0.766825641,0.09375,0.8125,0
6.54585E-2,93.448620177,0.773453108,0.0625,0.875,0
6.55138E-2,100,0.773737058,0.03125,0.9375,0
