Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.82985E-4,0.0882985,0.03272664,1,0,0
9.44935E-4,0.182791988,0.034982106,0.979591837,0,0
1.27855E-3,0.310646716,0.047038125,0.959183673,0,0
1.81778E-3,0.492425144,0.066207308,0.93877551,0,0
1.84305E-3,0.676729822,0.067095841,0.918367347,0,0
2.47222E-3,0.92395138,0.088954292,0.897959184,0,0
2.7104E-3,1.194991764,0.097095078,0.87755102,0,0
3.32248E-3,1.527240157,0.117682632,0.857142857,0,0
3.67105E-3,1.894345238,0.12919634,0.836734694,0,0
5.76856E-3,2.471201476,0.19537643,0.816326531,0,0
6.81852E-3,3.153053668,0.226590856,0.795918367,0,0
7.72684E-3,3.925737639,0.252615758,0.775510204,0,0
8.08255E-3,4.733992488,0.262567164,0.755102041,0.04,0
8.46766E-3,5.580758702,0.273191879,0.734693878,0.04,0
8.63047E-3,6.443805985,0.27763742,0.714285714,0.04,0
9.44535E-3,7.388340969,0.299482304,0.693877551,0.04,0
9.83129E-3,8.371469858,0.309596631,0.673469388,0.04,0
1.40202E-2,9.773490762,0.410413146,0.653061224,0.04,0
1.40693E-2,11.180420747,0.411502828,0.632653061,0.04,0
1.4597E-2,12.640120008,0.423089749,0.612244898,0.04,0
1.5251E-2,14.165222062,0.4371346,0.591836735,0.04,0
1.54136E-2,15.706578162,0.440571684,0.571428571,0.04,0
1.80493E-2,17.511510154,0.493466596,0.551020408,0.04,0
1.85488E-2,19.366387671,0.502911064,0.530612245,0.04,0
1.94845E-2,21.314833713,0.520133049,0.510204082,0.08,0
2.02456E-2,23.339393544,0.53370131,0.489795918,0.12,0
2.02575E-2,25.365142459,0.533910207,0.469387755,0.16,0
2.1183E-2,27.483443502,0.549885837,0.448979592,0.2,0
2.48488E-2,29.968324105,0.60796131,0.428571429,0.24,0
2.59416E-2,32.56248016,0.623777204,0.408163265,0.28,0
2.80464E-2,35.367122113,0.652465948,0.387755102,0.32,0
2.89416E-2,38.261282429,0.663994063,0.367346939,0.32,0
3.01479E-2,41.276075068,0.678926485,0.346938776,0.36,0
3.01535E-2,44.291424758,0.678993877,0.326530612,0.36,0
3.16229E-2,47.453711183,0.696285227,0.306122449,0.4,0
3.24379E-2,50.697496365,0.705471058,0.285714286,0.44,0
3.30037E-2,53.997866028,0.71168485,0.265306122,0.48,0
3.34236E-2,57.340230326,0.716211562,0.244897959,0.52,0
3.43574E-2,60.775971271,0.726023796,0.224489796,0.56,0
3.49612E-2,64.272093756,0.732187459,0.204081633,0.6,0
3.51636E-2,67.788454362,0.734222155,0.183673469,0.64,0
3.68403E-2,71.472484044,0.750495515,0.163265306,0.68,0
3.69246E-2,75.164946417,0.751287119,0.142857143,0.72,0
3.70168E-2,78.86662853,0.752149732,0.12244898,0.76,0
3.83827E-2,82.704895287,0.764583881,0.102040816,0.8,0
3.87253E-2,86.577428531,0.767604237,0.081632653,0.84,0
3.97014E-2,90.547567199,0.775996772,0.06122449,0.88,0
4.64602E-2,95.193589389,0.826363749,0.040816327,0.92,0
4.80641E-2,100,0.836547517,0.020408163,0.96,0
