Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.14946E-3,0.41494637,0.033595467,1,0,0
7.04337E-3,1.119283471,0.056355178,0.916666667,0,0
9.02213E-3,2.021496365,0.071608187,0.833333333,0,0
9.80444E-3,3.001940261,0.077570297,0.75,0,0
1.82908E-2,4.831015629,0.139836553,0.666666667,0,0
1.04766E-1,15.307663268,0.578021367,0.583333333,0,0
1.26269E-1,27.934598966,0.646505308,0.5,0.166666667,0
1.26988E-1,40.633377562,0.648590618,0.416666667,0.333333333,0
1.36694E-1,54.302753842,0.675586594,0.333333333,0.5,0
1.38341E-1,68.136871845,0.679958268,0.25,0.5,0
1.47468E-1,82.883649794,0.703131401,0.166666667,0.666666667,0
1.71164E-1,100,0.755761714,0.083333333,0.833333333,0
