Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.04029E-4,0.060402915,0.021858036,1,0,0
1.08859E-3,0.169261618,0.039046886,0.98,0,0
1.12525E-3,0.281786792,0.040335143,0.96,0,0
1.60238E-3,0.442024552,0.05694289,0.94,0,0
1.96951E-3,0.638975524,0.069526064,0.92,0,0
1.97965E-3,0.836940232,0.069871122,0.9,0,0
2.45527E-3,1.082467453,0.085917535,0.88,0,0
2.48724E-3,1.331191431,0.086986059,0.86,0,0
2.64901E-3,1.596092869,0.092374294,0.84,0,0
2.71389E-3,1.867482096,0.094526242,0.82,0,0
3.35898E-3,2.203380457,0.115647768,0.8,0,0
3.97456E-3,2.600836704,0.135343439,0.78,0,0
4.31111E-3,3.031947943,0.145925382,0.76,0,0
4.70275E-3,3.502223206,0.158076568,0.74,0,0
5.1468E-3,4.016903088,0.171644729,0.72,0,0
5.74495E-3,4.591398492,0.189576793,0.7,0,0
6.06072E-3,5.197470209,0.19888595,0.68,0,0
7.7182E-3,5.969290093,0.246025374,0.66,0,0
8.27564E-3,6.796853821,0.261247514,0.64,0,0
9.09137E-3,7.705990993,0.282970837,0.62,0,0
1.21265E-2,8.918644643,0.358336076,0.6,0,0
1.73655E-2,10.655199079,0.470264536,0.58,0.04,0
1.78378E-2,12.438983538,0.4793401,0.56,0.04,0
2.35659E-2,14.795569369,0.577783517,0.54,0.08,0
2.47086E-2,17.266430332,0.59507303,0.52,0.08,0
2.51294E-2,19.779371941,0.601259793,0.5,0.12,0
2.55023E-2,22.32960562,0.606663483,0.48,0.16,0
2.60708E-2,24.936681328,0.614759455,0.46,0.2,0
2.70036E-2,27.637036531,0.627685676,0.44,0.24,0
2.75673E-2,30.393763312,0.635286179,0.42,0.28,0
2.8298E-2,33.223564326,0.644908217,0.4,0.32,0
2.91334E-2,36.136908934,0.655598188,0.38,0.36,0
2.98325E-2,39.120160371,0.664295522,0.36,0.4,0
3.01394E-2,42.13410307,0.668044209,0.34,0.44,0
3.19617E-2,45.330271013,0.6894551,0.32,0.48,0
3.23901E-2,48.569276327,0.694284483,0.3,0.52,0
3.25285E-2,51.822126442,0.695829197,0.28,0.56,0
3.30213E-2,55.124253183,0.701264112,0.26,0.56,0
3.35413E-2,58.478381224,0.706894264,0.24,0.6,0
3.37539E-2,61.853768905,0.709165361,0.22,0.6,0
3.3787E-2,65.232468341,0.709517557,0.2,0.64,0
3.5856E-2,68.818072696,0.730696247,0.18,0.68,0
3.80005E-2,72.618124687,0.751018905,0.16,0.68,0
3.82566E-2,76.443785483,0.753340926,0.14,0.72,0
3.85024E-2,80.294027557,0.755549405,0.12,0.76,0
3.88105E-2,84.175077021,0.758289365,0.1,0.8,0
3.90075E-2,88.075825555,0.760025249,0.08,0.84,0
3.91988E-2,91.99570707,0.761699314,0.06,0.88,0
3.93163E-2,95.927336369,0.76272141,0.04,0.92,0
4.07266E-2,100,0.774654963,0.02,0.96,0
