x,y,species cloglog values
1.0,1.0,0.008518707
2.0,2.0,0.56774604
3.0,3.0,9.631238E-6
4.0,4.0,0.0121690575
5.0,5.0,0.35774755
6.0,6.0,0.17715386
7.0,7.0,0.011495875
8.0,8.0,0.06448351
9.0,9.0,0.044058714
10.0,10.0,0.36459252
11.0,11.0,2.2972501E-5
12.0,12.0,0.0020410446
13.0,13.0,0.43711072
14.0,14.0,0.0015907788
15.0,15.0,0.03475544
16.0,16.0,0.019200228
17.0,17.0,0.77158785
18.0,18.0,0.0017210275
19.0,19.0,0.036618922
20.0,20.0,0.2752437
21.0,21.0,0.344328
22.0,22.0,0.6255772
23.0,23.0,0.016620629
24.0,24.0,0.1490404
25.0,25.0,0.16871971
26.0,26.0,0.01870052
27.0,27.0,0.0755728
28.0,28.0,4.347112E-4
29.0,29.0,0.1959115
30.0,30.0,0.16606236
31.0,31.0,0.015430481
32.0,32.0,0.2564629
33.0,33.0,1.7120596E-5
34.0,34.0,0.001995343
35.0,35.0,7.513896E-5
36.0,36.0,3.135316E-6
37.0,37.0,1.7164479E-5
38.0,38.0,0.0014528119
39.0,39.0,0.09045213
40.0,40.0,0.08705849
41.0,41.0,0.42149445
42.0,42.0,0.118412346
43.0,43.0,0.422797
44.0,44.0,0.3221905
45.0,45.0,0.17931831
46.0,46.0,5.400485E-5
47.0,47.0,0.06582784
48.0,48.0,0.0027910592
49.0,49.0,0.022380952
50.0,50.0,0.37133086
51.0,51.0,0.2812592
52.0,52.0,0.005755895
53.0,53.0,0.06878865
54.0,54.0,0.0016556527
55.0,55.0,0.7153278
56.0,56.0,0.23650989
57.0,57.0,0.074992724
58.0,58.0,2.4141085E-5
59.0,59.0,0.0011281272
60.0,60.0,0.017679002
61.0,61.0,0.59968483
62.0,62.0,0.115504034
63.0,63.0,0.003971199
64.0,64.0,2.1501274E-4
65.0,65.0,0.10048935
66.0,66.0,0.58581233
67.0,67.0,0.044966362
68.0,68.0,5.748955E-4
69.0,69.0,0.23452939
70.0,70.0,6.440808E-6
71.0,71.0,0.5213279
72.0,72.0,0.0036318335
73.0,73.0,0.030885667
74.0,74.0,0.48292607
75.0,75.0,0.12151066
76.0,76.0,0.0034813366
77.0,77.0,0.028862495
78.0,78.0,0.0036137677
79.0,79.0,0.109366536
80.0,80.0,0.3321748
81.0,81.0,0.09106998
82.0,82.0,0.70498693
83.0,83.0,0.29943866
84.0,84.0,6.335097E-5
85.0,85.0,0.0016936904
86.0,86.0,5.20068E-5
87.0,87.0,0.008175614
88.0,88.0,0.0048220847
89.0,89.0,0.029441688
90.0,90.0,0.0014274479
91.0,91.0,0.01512374
92.0,92.0,0.0056963135
93.0,93.0,0.422732
94.0,94.0,6.386193E-5
95.0,95.0,0.19742848
96.0,96.0,0.4622864
97.0,97.0,0.030625694
98.0,98.0,0.01354522
99.0,99.0,0.06819495
100.0,100.0,4.232975E-5
101.0,101.0,4.4517768E-7
102.0,102.0,1.0673777E-5
103.0,103.0,0.004652568
104.0,104.0,0.55231744
105.0,105.0,1.0862925E-4
106.0,106.0,0.21011113
107.0,107.0,0.0037148397
108.0,108.0,0.003942166
109.0,109.0,0.02329838
110.0,110.0,0.037722196
111.0,111.0,0.021867631
112.0,112.0,0.07014986
113.0,113.0,0.438261
114.0,114.0,6.727339E-6
115.0,115.0,0.059046175
116.0,116.0,0.047260597
117.0,117.0,0.7352809
118.0,118.0,0.0023996418
119.0,119.0,0.22171412
120.0,120.0,4.9370137E-5
121.0,121.0,3.168531E-6
122.0,122.0,0.025030222
123.0,123.0,0.1237355
124.0,124.0,0.003217346
125.0,125.0,0.06712829
126.0,126.0,8.41784E-6
127.0,127.0,0.058473233
128.0,128.0,2.294818E-5
129.0,129.0,0.08765689
130.0,130.0,5.312538E-4
131.0,131.0,0.0023210982
132.0,132.0,0.0029393362
133.0,133.0,0.0029370014
134.0,134.0,0.6931914
135.0,135.0,0.094265476
136.0,136.0,0.0017182365
137.0,137.0,8.6462016E-5
138.0,138.0,0.7834431
139.0,139.0,0.0026607937
140.0,140.0,0.104805805
141.0,141.0,0.29248536
142.0,142.0,0.9589731
143.0,143.0,0.7676981
144.0,144.0,0.51242775
145.0,145.0,0.034218766
146.0,146.0,0.003150368
147.0,147.0,0.024296883
148.0,148.0,0.010921428
