Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.24E-3,0.123999556,0.043001143,1,0,0
1.42196E-3,0.266195383,0.049153806,0.979166667,0,0
1.4712E-3,0.41331548,0.050812027,0.958333333,0,0
1.70929E-3,0.58424428,0.058788775,0.9375,0,0
2.34132E-3,0.818376198,0.079640363,0.916666667,0,0
2.72911E-3,1.091287051,0.092204747,0.895833333,0,0
2.87489E-3,1.378775734,0.096883482,0.875,0,0
2.92785E-3,1.671560882,0.098577397,0.854166667,0,0
3.15603E-3,1.98716352,0.10583863,0.833333333,0,0
3.16611E-3,2.303774775,0.10615825,0.8125,0,0
4.08227E-3,2.71200165,0.134718812,0.791666667,0,0
4.90501E-3,3.202503043,0.159588739,0.770833333,0,0
7.07498E-3,3.910000908,0.221807089,0.75,0,0
7.08334E-3,4.618334783,0.222037659,0.729166667,0,0
7.09338E-3,5.327672816,0.222314514,0.708333333,0,0
7.46579E-3,6.074251967,0.232512927,0.6875,0,0
8.74114E-3,6.94836576,0.266435519,0.666666667,0,0
9.13364E-3,7.861729954,0.276570758,0.645833333,0.04,0
9.68019E-3,8.829749446,0.290451014,0.625,0.04,0
1.0492E-2,9.878952392,0.310578307,0.604166667,0.04,0
1.41807E-2,11.297017823,0.395074366,0.583333333,0.04,0
1.605E-2,12.902013451,0.43385742,0.5625,0.04,0
1.93787E-2,14.839882209,0.496866667,0.541666667,0.04,0
2.33537E-2,17.175248923,0.562989401,0.520833333,0.08,0
2.36136E-2,19.536608983,0.566997369,0.5,0.12,0
2.3895E-2,21.926106418,0.571294507,0.479166667,0.16,0
2.57789E-2,24.503992733,0.598987114,0.458333333,0.2,0
2.73692E-2,27.240908973,0.620966891,0.4375,0.24,0
2.74346E-2,29.984372786,0.621845555,0.416666667,0.24,0
2.85155E-2,32.835924485,0.636059755,0.395833333,0.28,0
2.88736E-2,35.723288683,0.64065047,0.375,0.28,0
2.89284E-2,38.616131059,0.64134758,0.354166667,0.32,0
2.99978E-2,41.615908554,0.654687661,0.333333333,0.36,0
3.01975E-2,44.635659071,0.657123725,0.3125,0.4,0
3.03571E-2,47.671370881,0.659058127,0.291666667,0.44,0
3.32246E-2,50.993832153,0.692009072,0.270833333,0.48,0
3.47151E-2,54.465342591,0.707858544,0.25,0.52,0
3.68855E-2,58.153888611,0.729490467,0.229166667,0.56,0
3.70694E-2,61.860825843,0.731248177,0.208333333,0.6,0
3.80277E-2,65.663594933,0.740224031,0.1875,0.64,0
3.982E-2,69.645599588,0.756214785,0.166666667,0.68,0
4.19631E-2,73.841906458,0.774047316,0.145833333,0.72,0
4.20564E-2,78.047550139,0.774793879,0.125,0.76,0
4.27074E-2,82.318293479,0.779931085,0.104166667,0.8,0
4.31307E-2,86.631366873,0.783208434,0.083333333,0.84,0
4.4324E-2,91.063769084,0.792186949,0.0625,0.88,0
4.44218E-2,95.505944372,0.792905605,0.041666667,0.92,0
4.49406E-2,100,0.796679182,0.020833333,0.96,0
