Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.22297E-3,0.122296655,0.031992278,1,0,0
2.11221E-3,0.333517842,0.054609989,0.96875,0,0
5.73183E-3,0.906700587,0.141349275,0.9375,0,0
6.37564E-3,1.544264519,0.155921837,0.90625,0,0
1.3181E-2,2.862361301,0.295625128,0.875,0,0
1.50446E-2,4.366825514,0.329676196,0.84375,0,0
1.60532E-2,5.972149806,0.347412618,0.8125,0,0
1.62036E-2,7.5925055,0.350015429,0.78125,0,0
1.75384E-2,9.346346657,0.372678841,0.75,0,0
1.80332E-2,11.149668918,0.380877594,0.71875,0.0625,0
2.00764E-2,13.157312558,0.413613143,0.6875,0.0625,0
2.18323E-2,15.340543091,0.440358635,0.65625,0.0625,0
2.2453E-2,17.585847287,0.44951895,0.625,0.0625,0
2.3942E-2,19.980046203,0.470885081,0.59375,0.0625,0
2.88098E-2,22.861027762,0.535117847,0.5625,0.0625,0
2.92943E-2,25.790454666,0.541067246,0.53125,0.0625,0
3.25369E-2,29.044142729,0.578975157,0.5,0.0625,0
3.32346E-2,32.367599927,0.586713025,0.46875,0.125,0
3.32438E-2,35.691982779,0.586814725,0.4375,0.1875,0
3.4346E-2,39.126579216,0.598746486,0.40625,0.25,0
3.47256E-2,42.599142664,0.602776506,0.375,0.3125,0
3.86843E-2,46.467574073,0.642459369,0.34375,0.3125,0
4.25283E-2,50.720401571,0.67719482,0.3125,0.375,0
4.46242E-2,55.182822684,0.694691121,0.28125,0.4375,0
4.5924E-2,59.775223983,0.705061773,0.25,0.5,0
4.98799E-2,64.763210598,0.734506326,0.21875,0.5625,0
5.28118E-2,70.044394606,0.754416224,0.1875,0.625,0
5.83904E-2,75.883437158,0.788268416,0.15625,0.6875,0
5.91381E-2,81.797246311,0.792435727,0.125,0.75,0
5.94323E-2,87.740473991,0.79405287,0.09375,0.8125,0
6.07194E-2,93.812415062,0.800981409,0.0625,0.875,0
6.18758E-2,100,0.807007405,0.03125,0.9375,0
