Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.81134E-4,0.048113354,0.018410447,1,0,0
5.16787E-4,0.099792007,0.019761133,0.979591837,0,0
5.86112E-4,0.158403186,0.022382148,0.959183673,0,0
1.08144E-3,0.266546812,0.040906327,0.93877551,0,0
2.21202E-3,0.487748735,0.08188367,0.918367347,0,0
2.39774E-3,0.727522371,0.088445433,0.897959184,0,0
3.24655E-3,1.052177385,0.117843815,0.87755102,0,0
3.45916E-3,1.398093124,0.1250577,0.857142857,0,0
4.84835E-3,1.882928377,0.170763544,0.836734694,0,0
5.49376E-3,2.432304374,0.191178025,0.816326531,0,0
6.88916E-3,3.121220541,0.233613558,0.795918367,0,0
7.6138E-3,3.882600997,0.25476482,0.775510204,0,0
1.02577E-2,4.908368791,0.327104609,0.755102041,0,0
1.14133E-2,6.049702815,0.356477727,0.734693878,0,0
1.19237E-2,7.24207749,0.369039003,0.714285714,0,0
1.19469E-2,8.436772032,0.369604068,0.693877551,0,0
1.25972E-2,9.696488365,0.385237638,0.673469388,0,0
1.4386E-2,11.135087994,0.426275887,0.653061224,0,0
1.53337E-2,12.668455435,0.446894904,0.632653061,0,0
1.58039E-2,14.248840884,0.456848091,0.612244898,0,0
1.73129E-2,15.980134149,0.487599575,0.591836735,0,0
1.88273E-2,17.862868531,0.516709563,0.571428571,0.04,0
1.94701E-2,19.80988122,0.528559623,0.551020408,0.04,0
2.10438E-2,21.914263723,0.556359616,0.530612245,0.08,0
2.14537E-2,24.059632783,0.563326959,0.510204082,0.08,0
2.22708E-2,26.286707807,0.576891445,0.489795918,0.12,0
2.27439E-2,28.56109491,0.584552517,0.469387755,0.16,0
2.43769E-2,30.998780157,0.609944803,0.448979592,0.2,0
2.44384E-2,33.442622131,0.610871179,0.428571429,0.24,0
2.45481E-2,35.897434047,0.612516329,0.408163265,0.28,0
2.5048E-2,38.402235412,0.619925568,0.387755102,0.32,0
2.52919E-2,40.93142801,0.623489143,0.367346939,0.36,0
2.78861E-2,43.720037533,0.659383723,0.346938776,0.4,0
2.91879E-2,46.638823806,0.676085194,0.326530612,0.44,0
2.95481E-2,49.593633269,0.680560502,0.306122449,0.48,0
2.98611E-2,52.57973873,0.684398307,0.285714286,0.48,0
3.03856E-2,55.618298969,0.690727672,0.265306122,0.52,0
3.10012E-2,58.718416223,0.697993646,0.244897959,0.56,0
3.15502E-2,61.873441021,0.704330575,0.224489796,0.6,0
3.43903E-2,65.312466613,0.735045776,0.204081633,0.6,0
3.47466E-2,68.787128205,0.738667389,0.183673469,0.64,0
3.48976E-2,72.276892879,0.740187309,0.163265306,0.68,0
3.59615E-2,75.873038047,0.750645553,0.142857143,0.72,0
3.70559E-2,79.578629642,0.76096603,0.12244898,0.76,0
3.85161E-2,83.430236863,0.774072881,0.102040816,0.8,0
4.11862E-2,87.548859715,0.796210537,0.081632653,0.84,0
4.14257E-2,91.691434248,0.798086991,0.06122449,0.88,0
4.14916E-2,95.840589608,0.798599523,0.040816327,0.92,0
4.15941E-2,100,0.799395618,0.020408163,0.96,0
