"","sp","lon","lat","oppc"
"116","haddadus_binotatus",-40.600278,-19.935556,21674
"117","haddadus_binotatus",-42.65306,-22.4625,23188
"118","haddadus_binotatus",-47.23,-24.57,NA
"119","haddadus_binotatus",-43.41528,-19.95944,21657
"120","haddadus_binotatus",-43.45111,-22.75917,23348
"121","haddadus_binotatus",-40.363333,-18.126944,20479
"122","haddadus_binotatus",-40.871003,-18.611125,20800
"123","haddadus_binotatus",-41.18472,-20.60361,22098
"124","haddadus_binotatus",-45.83,-23.63,23691
"125","haddadus_binotatus",-42.81861,-22.91944,23433
"126","haddadus_binotatus",-43.31167,-22.78556,23349
"127","haddadus_binotatus",-46.6,-23.4,23623
"128","haddadus_binotatus",-39.04944,-14.78889,18085
"129","haddadus_binotatus",-41.023056,-20.401944,21993
"130","haddadus_binotatus",-44.44667,-22.46889,23177
"131","haddadus_binotatus",-42.96556,-22.41222,23186
"132","haddadus_binotatus",-48.32889,-25.30667,24147
"133","haddadus_binotatus",-40.552625,-19.668056,21566
"134","haddadus_binotatus",-39.02472,-16.27806,19234
"135","haddadus_binotatus",-41.112778,-20.848889,22309
"136","haddadus_binotatus",-48.77889,-22.19306,23066
"137","haddadus_binotatus",-44.148056,-23.141111,NA
"138","haddadus_binotatus",-46.63611,-23.5475,23686
"139","haddadus_binotatus",-46.78889,-24.18306,NA
"140","haddadus_binotatus",-42.53889,-21.77056,22809
"141","haddadus_binotatus",-40.416667,-20.266667,21890
"142","haddadus_binotatus",-43.2333,-22.9333,23430
"143","haddadus_binotatus",-39.844167,-18.355278,20698
"144","haddadus_binotatus",-42.53111,-22.28194,23103
"145","haddadus_binotatus",-40.406667,-19.9325,21675
"146","haddadus_binotatus",-49.2164,-26.7333,24434
"147","haddadus_binotatus",-40.58,-19.83,21566
"148","haddadus_binotatus",-41.66111,-22.18722,23109
"149","haddadus_binotatus",-43.36222,-19.82611,21549
"150","haddadus_binotatus",-38.94722,-15.675,18852
"151","haddadus_binotatus",-44.13556,-22.72306,23344
"152","haddadus_binotatus",-44.31806,-23.00667,NA
"153","haddadus_binotatus",-44.10417,-22.52306,23262
"154","haddadus_binotatus",-39.06472,-16.44972,19350
"155","haddadus_binotatus",-40.60028,-19.93556,21674
"156","haddadus_binotatus",-39.49139,-13.60167,17182
"157","haddadus_binotatus",-48.2666667,-24.3,23894
"158","haddadus_binotatus",-48.00222,-24.6925,24026
"159","haddadus_binotatus",-48.77861,-27.68806,24643
"160","haddadus_binotatus",-40.07222,-19.39111,21349
"161","haddadus_binotatus",-40.600278,-19.936389,21674
"162","haddadus_binotatus",-42.98028,-20.87417,22298
"163","haddadus_binotatus",-42.06639,-22.06333,23015
"164","haddadus_binotatus",-43.4075,-20.07472,21764
"165","haddadus_binotatus",-42.20417,-22.48056,23190
"166","haddadus_binotatus",-41.184722,-20.603611,22098
"167","haddadus_binotatus",-43.10361,-22.88333,23431
"168","haddadus_binotatus",-40.33778,-20.31944,21890
"169","haddadus_binotatus",-39.53111,-17.03917,19812
"170","haddadus_binotatus",-42.02778,-22.96611,23437
"171","haddadus_binotatus",-39.732222,-18.593333,20807
"172","haddadus_binotatus",-40.746111,-20.040556,21780
"173","haddadus_binotatus",-44.27389,-20.04917,21759
"174","haddadus_binotatus",-41.19833,-20.91417,22308
"175","haddadus_binotatus",-40.5625,-19.9425,21674
"176","haddadus_binotatus",-40.8,-20.533333,22101
"177","haddadus_binotatus",-43.05778,-22.0025,23009
"178","haddadus_binotatus",-39.3025,-15.56306,18723
"179","haddadus_binotatus",-40.574603,-19.886667,21674
"180","haddadus_binotatus",-43.23333,-22.93333,23430
"181","haddadus_binotatus",-42.73222,-19.71222,21553
"182","haddadus_binotatus",-43.17861,-22.505,23267
"183","haddadus_binotatus",-42.00139,-20.12389,21772
"184","haddadus_binotatus",-40.42,-20.263889,21890
"185","haddadus_binotatus",-48.9175,-27.09806,24497
"186","haddadus_binotatus",-40.546028,-19.889361,21674
"187","haddadus_binotatus",-44.29028,-22.41972,23178
"188","haddadus_binotatus",-47.55528,-24.70806,24029
"189","haddadus_binotatus",-47.478669,-20.6675,22167
"190","haddadus_binotatus",-40.533333,-19.95,21674
"191","haddadus_binotatus",-41.0055,-20.655917,22099
"192","haddadus_binotatus",-43.78611,-20.66028,22083
"193","haddadus_binotatus",-43.4975,-20.69,22191
"194","haddadus_binotatus",-40.4975,-20.666667,NA
"195","haddadus_binotatus",-42.5333,-22.2667,23103
"196","haddadus_binotatus",-54.83,-23.63,23637
"197","haddadus_binotatus",-42.9097222,-21.9577778,22909
"198","haddadus_binotatus",-43.2333,-22.9,23430
"199","haddadus_binotatus",-44.56333,-22.49611,23176
"200","haddadus_binotatus",-47.4935,-24.373,23944
"201","haddadus_binotatus",-41.36639,-21.06417,22409
"202","haddadus_binotatus",-42.52167,-22.05111,23012
"203","haddadus_binotatus",-40.563056,-19.855,21674
"204","haddadus_binotatus",-42.98194,-22.53722,23269
"205","haddadus_binotatus",-43.70028,-22.24556,23096
"206","haddadus_binotatus",-40.529722,-20.100556,21781
"207","haddadus_binotatus",-43.04056,-22.65278,23268
"208","haddadus_binotatus",-40.825694,-20.387167,21995
"209","haddadus_binotatus",-40.335111,-19.818889,21567
"210","haddadus_binotatus",-48.93,-26.2,24346
"211","haddadus_binotatus",-40.466667,-20.266667,21890
"212","haddadus_binotatus",-40.829444,-20.404722,21995
"213","haddadus_binotatus",-41.28472,-13.41056,17039
"214","haddadus_binotatus",-42.14861,-20.61444,22093
"215","haddadus_binotatus",-45.22972,-22.84694,23418
