x,y,species cloglog values
1.0,1.0,0.61192906
2.0,2.0,0.042345468
3.0,3.0,0.017735861
4.0,4.0,0.02898125
5.0,5.0,0.43573517
6.0,6.0,0.22729732
7.0,7.0,0.08313918
8.0,8.0,0.2226163
9.0,9.0,0.09976873
10.0,10.0,0.100617036
11.0,11.0,0.40962914
12.0,12.0,0.04728084
13.0,13.0,0.33212808
14.0,14.0,0.0864411
15.0,15.0,0.1232107
16.0,16.0,0.2347261
17.0,17.0,0.05922689
18.0,18.0,0.018257745
19.0,19.0,0.32408744
20.0,20.0,0.46890625
21.0,21.0,0.11515099
22.0,22.0,0.7751587
23.0,23.0,0.71281284
24.0,24.0,0.16610691
