x,y,species cloglog values
1.0,1.0,0.26054764
2.0,2.0,0.37348655
3.0,3.0,0.5405257
4.0,4.0,0.64046323
5.0,5.0,0.09265415
6.0,6.0,0.27048638
7.0,7.0,0.074623674
8.0,8.0,0.008555618
9.0,9.0,0.008472747
10.0,10.0,0.008677413
11.0,11.0,0.14738908
12.0,12.0,0.20083416
13.0,13.0,0.025197305
14.0,14.0,0.0171831
15.0,15.0,0.07827884
16.0,16.0,0.14497039
17.0,17.0,0.0058195577
18.0,18.0,0.016189234
19.0,19.0,0.26831037
20.0,20.0,0.5858284
21.0,21.0,0.67112267
22.0,22.0,0.005499058
23.0,23.0,0.31810537
24.0,24.0,0.00756506
25.0,25.0,0.20732033
26.0,26.0,0.08853281
27.0,27.0,0.1661982
28.0,28.0,0.23686613
29.0,29.0,0.044266008
30.0,30.0,0.04304139
31.0,31.0,0.7153006
32.0,32.0,0.6328886
33.0,33.0,0.024971351
34.0,34.0,0.3787791
35.0,35.0,0.19580615
36.0,36.0,0.16334315
37.0,37.0,0.3640359
38.0,38.0,0.18677214
39.0,39.0,0.50355685
40.0,40.0,0.30403194
41.0,41.0,0.21696511
42.0,42.0,0.3351648
43.0,43.0,0.12980454
44.0,44.0,0.21166396
45.0,45.0,0.024317924
46.0,46.0,0.57874054
47.0,47.0,0.02773852
48.0,48.0,0.20650685
49.0,49.0,0.1545023
50.0,50.0,0.70856345
