X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.022618926110796498,23.55203304714009,0.5704054211272891
2.0,2.0,train,0.03595614456986336,67.69706170082806,0.7389688015641616
3.0,3.0,train,0.030579467074853393,47.0607372403213,0.6809072639440397
4.0,4.0,train,0.03823208232835024,75.32579644760945,0.7602434693585242
5.0,5.0,train,0.034847595831798396,56.973435847620394,0.7279328373035132
6.0,6.0,train,0.039129444779745705,83.14662507963331,0.7681469795946434
7.0,7.0,train,0.024868054054705848,26.038758785046646,0.605023052130901
8.0,8.0,train,0.030482030846803974,44.00479064746328,0.679743759207881
9.0,9.0,train,0.030783465679362954,50.13959856184678,0.6833295791126361
10.0,10.0,train,0.019700938070895672,19.255078599165504,0.5209326361057238
11.0,11.0,train,0.04191396243748389,91.36142935781976,0.7910510365124609
12.0,12.0,train,0.04333826781600267,99.99952200181767,0.8018773768035362
13.0,13.0,train,0.0058056683550272254,2.8860126196743012,0.19496254358018983
14.0,14.0,train,0.01579068630795741,17.284857695911477,0.44558927016424443
15.0,15.0,train,0.030386626738472384,40.95647444070422,0.6786004098304431
16.0,16.0,train,0.029838860723019455,31.85798975339184,0.6719563840708609
17.0,17.0,train,0.04023664627690905,87.1702426072332,0.7775405272038934
18.0,18.0,train,0.038059997185637386,71.50297570075836,0.758697322972331
19.0,19.0,train,0.02035149051558821,21.290081898662812,0.5324340942363189
20.0,20.0,train,0.03907328843140828,79.2334641325125,0.767660115895019
21.0,21.0,train,0.04304650001404853,95.66617342664934,0.799706273872557
22.0,22.0,train,0.030263162189033268,34.88411519659444,0.6771147149064141
23.0,23.0,train,0.035657356220581624,64.09698162073003,0.7360391086025034
24.0,24.0,train,0.030325725410482753,37.91822530389276,0.677868417785257
25.0,25.0,train,0.028353730078284362,28.874243020688805,0.653243592322577
