Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.07845E-4,0.080784479,0.0296387,1,0,0
9.49852E-4,0.17576966,0.034757208,0.979591837,0,0
1.32316E-3,0.308085376,0.048084238,0.959183673,0,0
1.3328E-3,0.441365832,0.0484262,0.93877551,0,0
1.53871E-3,0.595236896,0.055695551,0.918367347,0,0
1.96682E-3,0.79191862,0.070632243,0.897959184,0,0
2.22428E-3,1.014346175,0.079500988,0.87755102,0,0
2.57943E-3,1.272288976,0.091596303,0.857142857,0,0
2.5888E-3,1.531168962,0.091913316,0.836734694,0,0
4.37247E-3,1.968416004,0.150277291,0.816326531,0,0
5.09883E-3,2.478298882,0.172955839,0.795918367,0,0
5.44871E-3,3.023170093,0.18366298,0.775510204,0,0
5.74487E-3,3.597656948,0.192617573,0.755102041,0,0
8.20475E-3,4.418131873,0.263298066,0.734693878,0,0
8.30017E-3,5.248148968,0.265911524,0.714285714,0,0
9.67768E-3,6.215916476,0.302622572,0.693877551,0,0
1.09137E-2,7.307290535,0.333998705,0.673469388,0,0
1.1485E-2,8.455790546,0.348018604,0.653061224,0,0
1.2586E-2,9.714386818,0.374211439,0.632653061,0,0
1.42908E-2,11.143470587,0.41271079,0.612244898,0.04,0
1.51295E-2,12.656422249,0.430771336,0.591836735,0.04,0
1.67746E-2,14.333885935,0.46460086,0.571428571,0.08,0
1.91448E-2,16.248362378,0.509835444,0.551020408,0.08,0
2.01697E-2,18.265337246,0.528194242,0.530612245,0.12,0
2.37511E-2,20.640444631,0.587107602,0.510204082,0.12,0
2.5863E-2,23.226747091,0.618339674,0.489795918,0.16,0
2.62318E-2,25.849923785,0.623545257,0.469387755,0.2,0
2.67774E-2,28.527663501,0.631118015,0.448979592,0.24,0
2.68762E-2,31.215286078,0.632473265,0.428571429,0.24,0
2.77578E-2,33.991069432,0.64434467,0.408163265,0.28,0
2.78787E-2,36.778936576,0.645941666,0.387755102,0.32,0
2.98088E-2,39.75981819,0.670499874,0.367346939,0.36,0
3.02216E-2,42.781975434,0.67552635,0.346938776,0.4,0
3.02403E-2,45.806008719,0.67575298,0.326530612,0.44,0
3.09036E-2,48.896371866,0.683664865,0.306122449,0.48,0
3.16481E-2,52.06118355,0.692315436,0.285714286,0.52,0
3.19517E-2,55.256357195,0.695775072,0.265306122,0.56,0
3.24518E-2,58.50153898,0.701388725,0.244897959,0.6,0
3.25705E-2,61.758586703,0.702705457,0.224489796,0.64,0
3.43842E-2,65.197011114,0.722124625,0.204081633,0.68,0
3.56364E-2,68.760650191,0.734785574,0.183673469,0.68,0
3.58448E-2,72.345134999,0.736836631,0.163265306,0.72,0
3.64157E-2,75.98670577,0.742372609,0.142857143,0.76,0
3.6744E-2,79.661107189,0.745503494,0.12244898,0.76,0
3.86049E-2,83.521595084,0.762543993,0.102040816,0.8,0
4.04758E-2,87.569177215,0.77852664,0.081632653,0.84,0
4.07689E-2,91.646066726,0.780930884,0.06122449,0.88,0
4.09657E-2,95.742636811,0.782530723,0.040816327,0.92,0
4.25736E-2,100,0.795171523,0.020408163,0.96,0
