x,y,species cloglog values
1.0,1.0,0.23156263
2.0,2.0,0.252585
3.0,3.0,0.42529383
4.0,4.0,0.45949364
5.0,5.0,0.07826703
6.0,6.0,0.05608967
7.0,7.0,0.12986512
8.0,8.0,0.32950318
9.0,9.0,0.1939139
10.0,10.0,0.51434004
11.0,11.0,0.17516133
12.0,12.0,0.13328104
13.0,13.0,0.026624376
14.0,14.0,0.46639225
15.0,15.0,0.529098
16.0,16.0,0.3930247
17.0,17.0,0.69651675
18.0,18.0,0.030153329
19.0,19.0,0.028988909
20.0,20.0,0.43047136
21.0,21.0,0.23329292
22.0,22.0,0.19717671
23.0,23.0,0.06198258
24.0,24.0,0.024896381
25.0,25.0,0.21577698
