x,y,species cloglog values
1.0,1.0,0.20856738
2.0,2.0,0.7251473
3.0,3.0,0.19396988
4.0,4.0,0.14246562
5.0,5.0,0.059464835
6.0,6.0,0.08164648
7.0,7.0,0.6785414
8.0,8.0,0.12710969
9.0,9.0,0.08154467
10.0,10.0,0.06647283
11.0,11.0,0.67105716
12.0,12.0,0.06225774
13.0,13.0,0.09886769
14.0,14.0,0.6370199
15.0,15.0,0.64721686
16.0,16.0,0.6281184
17.0,17.0,0.08821961
18.0,18.0,0.63818926
19.0,19.0,0.14598222
20.0,20.0,0.6364351
21.0,21.0,0.14251731
22.0,22.0,0.34021714
23.0,23.0,0.7387344
24.0,24.0,0.61746573
