X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.03321773876986053,75.1400368216174,0.7090270009190389
2.0,2.0,train,0.029896335649015754,59.54114426919601,0.6707987791051437
3.0,3.0,train,0.028558108751789907,56.546499463118415,0.6540120741056059
4.0,4.0,train,0.03448056697279514,81.92030416022845,0.7223675991236724
5.0,5.0,train,0.02756829838492155,36.90068744148892,0.6410475927960504
6.0,6.0,train,0.03475132479896324,85.39567183875631,0.7251472975763835
7.0,7.0,train,0.02755369431947104,34.144083835827715,0.640852716840316
8.0,8.0,train,0.027763753783050602,39.67671143921811,0.6436455852503538
9.0,9.0,train,0.0278718453161238,42.48981765901368,0.6450742540044847
10.0,10.0,train,0.027930981726863948,48.04438568425265,0.6458534470448292
11.0,11.0,train,0.024851521763464446,12.531029812872037,0.6029120497031215
12.0,12.0,train,0.036067658703476786,92.53959738129241,0.7382697820538451
13.0,13.0,train,0.03142864907444658,71.81724473620578,0.6890222632140637
14.0,14.0,train,0.026999682941013618,20.478061521029044,0.6333813566179975
15.0,15.0,train,0.03537510551368922,88.93307527894557,0.7314458014681491
16.0,16.0,train,0.03848640717403272,100.0,0.7607707275572005
17.0,17.0,train,0.02841864551586823,53.69160082604644,0.6522141290442491
18.0,18.0,train,0.02787676867722719,45.23476563115946,0.6451391905552529
19.0,19.0,train,0.036115468462820044,96.14897647959332,0.738734419707728
20.0,20.0,train,0.02111243309782003,7.56713084463212,0.54371408422561
21.0,21.0,train,0.03333419301883626,78.47214704767403,0.7102836045608101
22.0,22.0,train,0.027258426464549852,25.933938449202913,0.6368899040392826
23.0,23.0,train,0.024787131088165895,10.047021298167,0.6019606583682069
24.0,24.0,train,0.03092754853963117,68.67459315124486,0.6831765948342055
