Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.64959E-3,0.164958603,0.05946484,1,0,0
1.72961E-3,0.337919164,0.06225774,0.97826087,0,0
1.85082E-3,0.523001623,0.066472822,0.956521739,0,0
2.28879E-3,0.751880576,0.081544666,0.934782609,0,0
2.29177E-3,0.981057808,0.081646475,0.913043478,0,0
2.48505E-3,1.229563257,0.08821961,0.891304348,0,0
2.80114E-3,1.509676899,0.09886769,0.869565217,0,0
3.65792E-3,1.875469266,0.127109675,0.847826087,0,0
4.13549E-3,2.289018484,0.142465627,0.826086957,0,0
4.13711E-3,2.702729861,0.142517306,0.804347826,0,0
4.24606E-3,3.127335969,0.145982222,0.782608696,0,0
5.80214E-3,3.707549529,0.193969901,0.760869565,0,0
6.2939E-3,4.336939668,0.208567342,0.739130435,0,0
1.11893E-2,5.455865209,0.340217129,0.717391304,0,0
2.11124E-2,7.567108519,0.543714084,0.695652174,0,0
2.47871E-2,10.045821627,0.601960658,0.673913043,0.041666667,0
2.48515E-2,12.530973804,0.60291205,0.652173913,0.083333333,0
2.58562E-2,15.116596781,0.617465748,0.630434783,0.125,0
2.66162E-2,17.778213328,0.628118419,0.608695652,0.125,0
2.69997E-2,20.478181622,0.633381357,0.586956522,0.125,0
2.72247E-2,23.200656248,0.63643511,0.565217391,0.166666667,0
2.72584E-2,25.926498894,0.636889904,0.543478261,0.166666667,0
2.72681E-2,28.653304597,0.637019844,0.52173913,0.208333333,0
2.73549E-2,31.388793137,0.638189272,0.5,0.208333333,0
2.75537E-2,34.144162568,0.640852717,0.47826087,0.208333333,0
2.75683E-2,36.900992407,0.641047593,0.456521739,0.25,0
2.77638E-2,39.677367785,0.643645585,0.434782609,0.291666667,0
2.78718E-2,42.464552317,0.645074254,0.413043478,0.333333333,0
2.78768E-2,45.252229185,0.645139191,0.391304348,0.375,0
2.7931E-2,48.045327357,0.645853447,0.369565217,0.416666667,0
2.80348E-2,50.848804485,0.647216865,0.347826087,0.458333333,0
2.84186E-2,53.690669036,0.652214129,0.326086957,0.458333333,0
2.85581E-2,56.546479911,0.654012074,0.304347826,0.5,0
2.98963E-2,59.536113476,0.670798779,0.282608696,0.541666667,0
2.99175E-2,62.52785991,0.671057179,0.260869565,0.583333333,0
3.05367E-2,65.58153386,0.678541386,0.239130435,0.583333333,0
3.09275E-2,68.674288714,0.683176595,0.217391304,0.583333333,0
3.14286E-2,71.817153621,0.689022263,0.195652174,0.625,0
3.32177E-2,75.138927498,0.709027001,0.173913043,0.666666667,0
3.33342E-2,78.4723468,0.710283605,0.152173913,0.708333333,0
3.44806E-2,81.920403497,0.722367599,0.130434783,0.75,0
3.47513E-2,85.395531206,0.725147298,0.108695652,0.791666667,0
3.53751E-2,88.933046566,0.731445801,0.086956522,0.833333333,0
3.60677E-2,92.539812436,0.738269782,0.065217391,0.875,0
3.61155E-2,96.151359283,0.73873442,0.043478261,0.916666667,0
3.84864E-2,100,0.760770728,0.02173913,0.958333333,0
