x,y,species cloglog values
1.0,1.0,0.67753005
2.0,2.0,0.039597362
3.0,3.0,0.09858024
4.0,4.0,0.11055675
5.0,5.0,0.3820685
6.0,6.0,0.037679847
7.0,7.0,0.71292084
8.0,8.0,0.14121608
9.0,9.0,0.06721514
10.0,10.0,0.10674126
11.0,11.0,0.012727703
12.0,12.0,0.2821333
13.0,13.0,0.08864073
14.0,14.0,0.23222055
15.0,15.0,0.28237534
16.0,16.0,0.02890795
17.0,17.0,0.06519498
18.0,18.0,0.111936316
19.0,19.0,0.020726843
20.0,20.0,0.038514074
21.0,21.0,0.035593063
22.0,22.0,0.6190058
23.0,23.0,0.097883224
24.0,24.0,0.70251876
25.0,25.0,0.012507076
