thrs,AUC,TSS
0.0799,0.698347107438017,0.363636363636364
0.0799,0.785123966942149,0.454545454545455
0.0799,0.785123966942149,0.727272727272727
0.0799,0.776859504132231,0.545454545454545
0.0799,0.896694214876033,0.727272727272727
0.0399,0.727272727272727,0.454545454545455
0.0799,0.71900826446281,0.363636363636364
0.0799,0.84297520661157,0.636363636363636
0.0799,0.768595041322314,0.636363636363636
0.1599,0.628099173553719,0.272727272727273
0.3799238,0.764462809917355,0.545454545454545
0.54542279,0.735537190082645,0.454545454545455
0.36332547,0.756198347107438,0.727272727272727
0.418562,0.793388429752066,0.545454545454545
0.47558148,0.826446280991736,0.636363636363636
0.31156874,0.818181818181818,0.545454545454545
0.40250234,0.776859504132231,0.545454545454545
0.61950399,0.90495867768595,0.727272727272727
0.41999214,0.809917355371901,0.636363636363636
0.30686748,0.87603305785124,0.818181818181818
0.2758306,0.863636363636364,0.727272727272727
0.14181571,0.636363636363636,0.363636363636364
-2.47035322,0.822314049586777,0.636363636363636
0.11698602,0.56198347107438,0.363636363636364
-0.52165962,0.768595041322314,0.545454545454545
-1.20384776,0.735537190082645,0.636363636363636
-1.22475295,0.735537190082645,0.454545454545455
0.39211344,0.805785123966942,0.636363636363636
-0.31244038,0.768595041322314,0.636363636363636
-0.77436366,0.826446280991736,0.636363636363636
0.61170168,0.838842975206612,0.636363636363636
0.47025667,0.87603305785124,0.727272727272727
0.49187221,0.822314049586777,0.727272727272727
0.54197748,0.851239669421488,0.818181818181818
0.47455736,0.909090909090909,0.818181818181818
0.34975447,0.859504132231405,0.636363636363636
0.46366228,0.983471074380165,0.909090909090909
0.48787968,0.946280991735537,0.909090909090909
0.56610842,0.867768595041322,0.636363636363636
0.40609081,0.84297520661157,0.636363636363636
0.83660729,0.822314049586777,0.636363636363636
0.70185136,0.826446280991736,0.636363636363636
0.4738446,0.830578512396694,0.636363636363636
0.66950624,0.84297520661157,0.727272727272727
0.5305171,0.991735537190083,0.909090909090909
0.48054591,0.851239669421488,0.636363636363636
0.5973027,0.87603305785124,0.727272727272727
0.53040026,0.913223140495868,0.909090909090909
0.36594097,0.785123966942149,0.727272727272727
0.39621575,0.818181818181818,0.636363636363636
