x,y,species cloglog values
1.0,1.0,0.19291492
2.0,2.0,0.11645627
3.0,3.0,0.09439315
4.0,4.0,0.46196365
5.0,5.0,0.06152131
6.0,6.0,0.5278837
7.0,7.0,0.579536
8.0,8.0,0.16310443
9.0,9.0,0.423201
10.0,10.0,0.34664127
11.0,11.0,0.053861406
12.0,12.0,0.50793886
13.0,13.0,0.28965017
14.0,14.0,0.064496584
15.0,15.0,0.104964636
16.0,16.0,0.4292231
17.0,17.0,0.268468
18.0,18.0,0.107563026
19.0,19.0,0.048571803
20.0,20.0,0.11281709
21.0,21.0,0.08490217
22.0,22.0,0.8162744
23.0,23.0,0.47200745
24.0,24.0,0.43991938
25.0,25.0,0.5790307
