x,y,species cloglog values
1.0,1.0,0.37946594
2.0,2.0,0.17579994
3.0,3.0,0.31680307
4.0,4.0,0.26906687
5.0,5.0,0.07423957
6.0,6.0,0.31541303
7.0,7.0,0.30120307
8.0,8.0,0.47518778
9.0,9.0,0.41058755
10.0,10.0,0.18803132
11.0,11.0,0.07264599
12.0,12.0,0.47536623
13.0,13.0,0.07688487
14.0,14.0,0.061566662
15.0,15.0,0.08729984
16.0,16.0,0.3612203
17.0,17.0,0.5979604
18.0,18.0,0.18866707
19.0,19.0,0.11902846
20.0,20.0,0.40783894
21.0,21.0,0.44800204
22.0,22.0,0.49845192
23.0,23.0,0.231761
24.0,24.0,0.3348232
25.0,25.0,0.25609115
