Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.32062E-4,0.013206206,0.004883162,1,0,0
1.67952E-4,0.030001423,0.006206118,0.979591837,0,0
2.54036E-4,0.072274676,0.009372135,0.93877551,0,0
6.2037E-4,0.134311693,0.022732788,0.918367347,0,0
7.74788E-4,0.211790516,0.028310481,0.897959184,0,0
1.10531E-3,0.322322005,0.040142583,0.87755102,0,0
1.15033E-3,0.437355486,0.041743006,0.857142857,0,0
2.69318E-3,0.706673311,0.09500658,0.836734694,0,0
6.31222E-3,1.337895779,0.208617782,0.816326531,0,0
6.62945E-3,2.000840887,0.217868817,0.795918367,0,0
6.6621E-3,2.667050424,0.218814639,0.775510204,0,0
7.65251E-3,3.432301715,0.246973205,0.755102041,0,0
9.53728E-3,4.386030126,0.29778593,0.734693878,0,0
1.02059E-2,5.406623291,0.314976154,0.714285714,0,0
1.03882E-2,6.445447309,0.319589667,0.693877551,0,0
1.09003E-2,7.535475178,0.332381837,0.673469388,0,0
1.32971E-2,8.865184624,0.389136205,0.653061224,0,0
1.44036E-2,10.305541925,0.413683146,0.632653061,0,0
1.5791E-2,11.884639734,0.443073302,0.612244898,0,0
1.89721E-2,13.781852727,0.505019492,0.591836735,0,0
2.03836E-2,15.820214277,0.530250734,0.571428571,0.04,0
2.09657E-2,17.916787485,0.540278049,0.551020408,0.04,0
2.18817E-2,20.104953123,0.555623829,0.530612245,0.08,0
2.22068E-2,22.325633143,0.560947331,0.510204082,0.12,0
2.25478E-2,24.580412902,0.566461899,0.489795918,0.16,0
2.33005E-2,26.910461488,0.57839034,0.469387755,0.16,0
2.49543E-2,29.405889588,0.603459194,0.448979592,0.2,0
2.57182E-2,31.977711702,0.614530487,0.428571429,0.24,0
2.62471E-2,34.602425098,0.622014068,0.408163265,0.28,0
2.76374E-2,37.366165974,0.640999463,0.387755102,0.28,0
2.91903E-2,40.285199,0.661080711,0.367346939,0.32,0
3.01481E-2,43.30000982,0.672901878,0.346938776,0.36,0
3.06539E-2,46.365402932,0.67897759,0.326530612,0.4,0
3.11137E-2,49.476776345,0.684402556,0.306122449,0.44,0
3.12101E-2,52.597785814,0.68552779,0.285714286,0.48,0
3.1425E-2,55.740288671,0.688023211,0.265306122,0.52,0
3.24835E-2,58.988634982,0.700025951,0.244897959,0.56,0
3.35957E-2,62.348204054,0.712141453,0.224489796,0.56,0
3.40226E-2,65.750467253,0.716661062,0.204081633,0.6,0
3.45656E-2,69.20703138,0.722306996,0.183673469,0.64,0
3.49982E-2,72.706853373,0.726724108,0.163265306,0.68,0
3.5934E-2,76.300250782,0.736040303,0.142857143,0.72,0
3.60171E-2,79.901958163,0.736852112,0.12244898,0.76,0
3.86116E-2,83.76312304,0.760980894,0.102040816,0.8,0
3.91178E-2,87.674902911,0.765423417,0.081632653,0.84,0
4.00313E-2,91.678029761,0.773233087,0.06122449,0.88,0
4.03412E-2,95.712154491,0.775823712,0.040816327,0.92,0
4.28785E-2,100,0.795945632,0.020408163,0.96,0
4.28785E-2,100,0.795945659,0,0.96,0
