X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.00520347199812596,2.419779464329318,0.18081824178234418
2.0,2.0,train,0.034947047697026806,69.89162255677955,0.7380290752746368
3.0,3.0,train,0.023487704785702307,30.23535861500607,0.5935460648654631
4.0,4.0,train,0.04136216919989799,99.99991374684964,0.7951369604991434
5.0,5.0,train,0.024902416779953713,37.53378103704238,0.6149994997095201
6.0,6.0,train,0.03065797214761448,46.13706343837915,0.6912184827019424
7.0,7.0,train,0.022800442249590745,27.886683715226386,0.5826966552636824
8.0,8.0,train,0.028416633302647338,43.071349871513995,0.6635180282436965
9.0,9.0,train,0.024361812340999697,35.04357420907953,0.6069385252976716
10.0,10.0,train,0.03388434010448472,56.108552428877985,0.7271377338162341
11.0,11.0,train,0.039393964304717845,91.87518766412744,0.779083891627115
12.0,12.0,train,0.03683252554134012,84.17811355265727,0.7562938780835782
13.0,13.0,train,0.0398851794897886,95.86361653817117,0.7832044526370487
14.0,14.0,train,0.03402932161242947,62.911273614973545,0.7286498641053654
15.0,15.0,train,0.03506308224029559,76.89741675209507,0.7391916322360229
16.0,16.0,train,0.021820275430234896,21.236673442353833,0.566720404506577
17.0,17.0,train,0.033732855550412666,52.718924791934235,0.7255487752628162
18.0,18.0,train,0.021820275430234896,21.236673442353833,0.566720404506577
19.0,19.0,train,0.03594824797210011,80.49493220055746,0.7478920229444219
20.0,20.0,train,0.02139352077995605,19.054877751136,0.5595747401785385
21.0,21.0,train,0.0350381129349646,73.39541352691008,0.7389418997142212
22.0,22.0,train,0.020599350498803085,16.915384024092045,0.5459617984723861
23.0,23.0,train,0.03757883757520752,87.93595024773774,0.7631666070734937
24.0,24.0,train,0.034007987353831884,59.50790078964116,0.7284278786807559
25.0,25.0,train,0.032086287628926555,49.345702506792215,0.707669043615404
