X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.007969686870317677,73.67850773447005,0.7006094078265517
2.0,2.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
3.0,3.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
4.0,4.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
5.0,5.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
6.0,6.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
7.0,7.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
8.0,8.0,train,0.004267927792965901,13.604458665827861,0.4757783141956995
9.0,9.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
10.0,10.0,train,0.009526560909166022,89.77688340921546,0.7634507617990751
11.0,11.0,train,0.007110898490442354,60.0647088370618,0.6590606897126553
12.0,12.0,train,0.004626149871845303,17.211347164727304,0.5034386694928347
13.0,13.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
14.0,14.0,train,0.0056524022562860834,20.814870031840993,0.5748635339484404
15.0,15.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
16.0,16.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
17.0,17.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
18.0,18.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
19.0,19.0,train,0.0056524022562860834,20.814870031840993,0.5748635339484404
20.0,20.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
21.0,21.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
22.0,22.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
23.0,23.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
24.0,24.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
25.0,25.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
26.0,26.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
27.0,27.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
28.0,28.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
29.0,29.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
30.0,30.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
31.0,31.0,train,0.005701919456756861,21.950238013108713,0.578037239515534
32.0,32.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
33.0,33.0,train,0.00557421786908366,20.2495695049681,0.5698037924389017
34.0,34.0,train,0.00591727138007083,36.88694780783612,0.5915664983623152
35.0,35.0,train,0.009526560909166022,89.77688340921546,0.7634507617990751
36.0,36.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
37.0,37.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
38.0,38.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
39.0,39.0,train,0.007969686870317677,73.67850773447005,0.7006094078265517
40.0,40.0,train,0.004637001551903333,18.137695454909743,0.5042534143664129
41.0,41.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
42.0,42.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
43.0,43.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
44.0,44.0,train,0.009526560909166022,89.77688340921546,0.7634507617990751
45.0,45.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
46.0,46.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
47.0,47.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
48.0,48.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
49.0,49.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
50.0,50.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
51.0,51.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
52.0,52.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
53.0,53.0,train,0.004626149871845303,17.211347164727304,0.5034386694928347
54.0,54.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
55.0,55.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
56.0,56.0,train,0.004637001551903333,18.137695454909743,0.5042534143664129
57.0,57.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
58.0,58.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
59.0,59.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
60.0,60.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
61.0,61.0,train,0.00723933140011527,63.64841478102253,0.665622871703338
62.0,62.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
63.0,63.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
64.0,64.0,train,0.007969686870317677,73.67850773447005,0.7006094078265517
65.0,65.0,train,0.004267927792965901,13.604458665827861,0.4757783141956995
66.0,66.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
67.0,67.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
68.0,68.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
69.0,69.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
70.0,70.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
71.0,71.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
72.0,72.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
73.0,73.0,train,0.00557421786908366,20.2495695049681,0.5698037924389017
74.0,74.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
75.0,75.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
76.0,76.0,train,0.004637001551903333,18.137695454909743,0.5042534143664129
77.0,77.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
78.0,78.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
79.0,79.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
80.0,80.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
81.0,81.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
82.0,82.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
83.0,83.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
84.0,84.0,train,0.003535511848559053,7.888246371203003,0.4143356216487194
85.0,85.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
86.0,86.0,train,0.004267927792965901,13.604458665827861,0.4757783141956995
87.0,87.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
88.0,88.0,train,0.007221132546615121,62.9245805685539,0.6647007525766595
89.0,89.0,train,0.004624227817260051,15.823899461476964,0.5032942219808724
90.0,90.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
91.0,91.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
92.0,92.0,train,0.00496265804011155,18.633955876371136,0.5280914658726376
93.0,93.0,train,0.009526560909166022,89.77688340921546,0.7634507617990751
94.0,94.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
95.0,95.0,train,0.00591727138007083,36.88694780783612,0.5915664983623152
96.0,96.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
97.0,97.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
98.0,98.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
99.0,99.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
100.0,100.0,train,0.003629487235779608,8.251182770479254,0.4226052670986794
101.0,101.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
102.0,102.0,train,0.008456971912629231,88.82422881552928,0.7218915776997249
103.0,103.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
104.0,104.0,train,0.009526560909166022,89.77688340921546,0.7634507617990751
105.0,105.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
106.0,106.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
107.0,107.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
108.0,108.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
109.0,109.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
110.0,110.0,train,0.0017719773265088277,3.8513652107991057,0.23520158792710222
111.0,111.0,train,0.05459836137994482,99.99999099326608,0.9997418711231129
112.0,112.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
113.0,113.0,train,0.004624227817260051,15.823899461476964,0.5032942219808724
114.0,114.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
115.0,115.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
116.0,116.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
117.0,117.0,train,0.004624227817260051,15.823899461476964,0.5032942219808724
118.0,118.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
119.0,119.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
120.0,120.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
121.0,121.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
122.0,122.0,train,0.006873882758417964,44.124144257174294,0.6466105544299556
123.0,123.0,train,0.007110898490442354,60.0647088370618,0.6590606897126553
124.0,124.0,train,0.007027053773152551,55.137697154768624,0.6547073847201086
125.0,125.0,train,0.00496265804011155,18.633955876371136,0.5280914658726376
126.0,126.0,train,0.004227461037347231,13.17770010176545,0.4725583424321995
127.0,127.0,train,0.005701919456756861,21.950238013108713,0.578037239515534
128.0,128.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
129.0,129.0,train,0.005737013916248204,35.71561282980405,0.580272192004831
130.0,130.0,train,0.007110898490442354,60.0647088370618,0.6590606897126553
131.0,131.0,train,0.009526560909166022,89.77688340921546,0.7634507617990751
132.0,132.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
133.0,133.0,train,0.007694255688945571,64.41783069069032,0.6878672920368942
134.0,134.0,train,0.00838644178212064,75.34261284611425,0.718907454309995
135.0,135.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
136.0,136.0,train,0.006710366242526931,39.41030068971679,0.6377572038267034
137.0,137.0,train,0.002552710327829567,5.722571514067811,0.3204243806756131
138.0,138.0,train,2.605327585195429E-4,0.5026611988607019,0.038657854571110484
