x,y,species cloglog values
1.0,1.0,0.013333686
2.0,2.0,0.0041710814
3.0,3.0,0.0022238998
4.0,4.0,0.11449033
5.0,5.0,0.023608193
6.0,6.0,0.016066154
7.0,7.0,0.010045414
8.0,8.0,0.07340392
9.0,9.0,0.23971204
10.0,10.0,0.5042534
11.0,11.0,8.8489316E-5
12.0,12.0,0.15832163
13.0,13.0,0.016096482
14.0,14.0,0.32645202
15.0,15.0,0.10372558
16.0,16.0,1.8967476E-4
17.0,17.0,0.44251126
18.0,18.0,0.45275837
19.0,19.0,0.58400905
20.0,20.0,0.38836956
21.0,21.0,0.4912595
22.0,22.0,0.09564442
23.0,23.0,0.025206042
24.0,24.0,7.014235E-4
25.0,25.0,0.5280915
26.0,26.0,0.04077418
27.0,27.0,6.17183E-4
28.0,28.0,0.032116238
29.0,29.0,0.17845808
30.0,30.0,0.071677335
31.0,31.0,0.076987445
32.0,32.0,0.03837199
33.0,33.0,0.004664898
34.0,34.0,0.12148234
35.0,35.0,0.1057435
36.0,36.0,0.083506264
37.0,37.0,0.12990299
38.0,38.0,0.49906933
39.0,39.0,0.16605733
40.0,40.0,0.00415312
41.0,41.0,0.44651243
42.0,42.0,8.186036E-4
43.0,43.0,0.07334816
44.0,44.0,0.24912883
45.0,45.0,0.7131786
46.0,46.0,2.6690876E-4
47.0,47.0,0.18243545
48.0,48.0,1.634553E-4
49.0,49.0,0.013339481
50.0,50.0,0.5944453
51.0,51.0,0.1403148
52.0,52.0,0.012371929
53.0,53.0,0.4305262
54.0,54.0,0.03010475
55.0,55.0,0.3038053
56.0,56.0,0.10284562
57.0,57.0,0.0049159164
58.0,58.0,0.5606827
59.0,59.0,0.020317433
60.0,60.0,0.024405945
61.0,61.0,0.030608837
62.0,62.0,0.4143356
63.0,63.0,5.6207675E-4
64.0,64.0,0.027994577
65.0,65.0,0.27004546
66.0,66.0,0.009248673
67.0,67.0,0.5698038
68.0,68.0,0.6340232
69.0,69.0,0.0060762204
70.0,70.0,0.01083915
71.0,71.0,0.015899217
72.0,72.0,9.3518913E-4
73.0,73.0,0.04049175
74.0,74.0,0.26465428
75.0,75.0,8.851587E-5
76.0,76.0,0.7006094
77.0,77.0,0.14050965
78.0,78.0,0.0013791468
79.0,79.0,8.352939E-4
80.0,80.0,0.16480476
81.0,81.0,0.066102296
82.0,82.0,0.016205205
83.0,83.0,0.0033230109
84.0,84.0,0.38046402
85.0,85.0,0.16897824
86.0,86.0,0.18176523
87.0,87.0,0.2510886
88.0,88.0,7.567397E-4
89.0,89.0,0.023894299
90.0,90.0,0.018996445
91.0,91.0,7.699908E-4
92.0,92.0,0.0011557788
93.0,93.0,0.38679668
94.0,94.0,0.002797708
95.0,95.0,0.07573557
96.0,96.0,0.0013307498
97.0,97.0,2.4199254E-4
98.0,98.0,0.17568785
99.0,99.0,0.0074487757
100.0,100.0,0.27848232
101.0,101.0,0.33741203
102.0,102.0,0.54103225
103.0,103.0,0.1052596
104.0,104.0,0.4701827
105.0,105.0,0.024304805
106.0,106.0,0.040897172
107.0,107.0,0.113149405
108.0,108.0,0.0042652786
109.0,109.0,8.061778E-4
110.0,110.0,0.008223992
111.0,111.0,1.5839763E-4
112.0,112.0,0.18560183
113.0,113.0,0.06273809
114.0,114.0,0.023698535
115.0,115.0,8.497421E-4
116.0,116.0,0.010226194
117.0,117.0,0.0144907525
118.0,118.0,0.10915578
119.0,119.0,0.9997419
120.0,120.0,0.04870682
121.0,121.0,0.11686106
122.0,122.0,0.006755888
123.0,123.0,0.008669494
124.0,124.0,0.018473085
125.0,125.0,0.37868217
126.0,126.0,1.3519426E-4
127.0,127.0,0.1583959
128.0,128.0,5.1223364E-4
129.0,129.0,0.020709967
130.0,130.0,0.042739157
131.0,131.0,0.03430566
132.0,132.0,0.0739648
133.0,133.0,0.009179345
134.0,134.0,0.0018109999
135.0,135.0,0.2478888
136.0,136.0,1.4050728E-4
137.0,137.0,0.026902083
138.0,138.0,3.183409E-4
139.0,139.0,0.0067006117
140.0,140.0,0.058902897
141.0,141.0,1.7792055E-4
142.0,142.0,3.0021922E-4
143.0,143.0,0.6612715
144.0,144.0,0.07141012
145.0,145.0,0.05052649
146.0,146.0,0.10043576
147.0,147.0,0.11529046
148.0,148.0,0.011767003
