Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.82034E-4,0.098203352,0.034405431,1,0,0
1.2356E-3,0.221763816,0.043095317,0.978723404,0,0
1.46446E-3,0.368209598,0.050870959,0.957446809,0,0
1.5516E-3,0.523370028,0.053815256,0.936170213,0,0
1.59865E-3,0.683234626,0.055400791,0.914893617,0,0
1.62394E-3,0.845628365,0.056252137,0.893617021,0,0
1.76823E-3,1.022451696,0.061094691,0.872340426,0,0
1.98583E-3,1.221034784,0.068350293,0.85106383,0,0
2.20838E-3,1.441872787,0.075713007,0.829787234,0,0
2.6416E-3,1.706032798,0.089878999,0.808510638,0,0
4.19524E-3,2.125557208,0.138920012,0.787234043,0,0
4.2059E-3,2.546147411,0.139247138,0.765957447,0,0
4.49053E-3,2.995200476,0.147937473,0.744680851,0,0
5.28743E-3,3.523943527,0.171804679,0.723404255,0,0
5.91102E-3,4.115045034,0.190013866,0.70212766,0,0
9.00326E-3,5.015371465,0.274563916,0.680851064,0,0
1.12722E-2,6.1425931,0.330935269,0.659574468,0,0
1.99295E-2,8.135539753,0.508611764,0.638297872,0,0
2.37928E-2,10.514815474,0.571838111,0.617021277,0,0
2.45985E-2,12.974665726,0.583962616,0.595744681,0.041666667,0
2.6247E-2,15.599369584,0.607709791,0.574468085,0.083333333,0
2.8321E-2,18.431466552,0.635669079,0.553191489,0.125,0
2.84871E-2,21.280180173,0.637821042,0.531914894,0.125,0
2.90949E-2,24.189673095,0.645584642,0.510638298,0.166666667,0
2.92023E-2,27.109902138,0.646938616,0.489361702,0.166666667,0
2.97065E-2,30.080551571,0.653228461,0.468085106,0.166666667,0
2.99953E-2,33.080084337,0.656780991,0.446808511,0.166666667,0
3.09623E-2,36.176310451,0.668411128,0.425531915,0.208333333,0
3.13487E-2,39.311180221,0.672948152,0.404255319,0.25,0
3.15715E-2,42.468328295,0.675535508,0.382978723,0.291666667,0
3.19156E-2,45.659893007,0.679492407,0.361702128,0.333333333,0
3.20622E-2,48.866112554,0.681162599,0.340425532,0.375,0
3.20967E-2,52.075779006,0.681554172,0.319148936,0.416666667,0
3.24993E-2,55.325704813,0.686092235,0.29787234,0.458333333,0
3.26167E-2,58.587378338,0.687404215,0.276595745,0.5,0
3.28575E-2,61.873123635,0.690075438,0.255319149,0.541666667,0
3.29351E-2,65.166631176,0.69093193,0.234042553,0.583333333,0
3.32382E-2,68.490451342,0.694254042,0.212765957,0.625,0
3.34303E-2,71.83347787,0.696340458,0.191489362,0.625,0
3.35826E-2,75.191742276,0.697985638,0.170212766,0.666666667,0
3.42462E-2,78.616362342,0.705046533,0.14893617,0.708333333,0
3.47056E-2,82.086924343,0.709838259,0.127659574,0.75,0
3.47984E-2,85.566760636,0.71079608,0.106382979,0.791666667,0
3.4859E-2,89.052664421,0.711421001,0.085106383,0.833333333,0
3.52729E-2,92.579952087,0.715647465,0.063829787,0.875,0
3.6916E-2,96.271549752,0.731826176,0.042553191,0.916666667,0
3.72845E-2,100,0.735326559,0.021276596,0.958333333,0
3.72845E-2,100,0.735326559,0.021276596,1,0
